업체명,모델명,연료,변속형식,차량형식,자동차 종류,표시연비,도심주행연비,고속도로연비,CO2배출량(g/km),1회충전주행거리(km),배기량,등급,출시연도,예상 연간유류비
벤틀리,Continental GTC,전기+휘발유,자동,PHEV,승용차,8.7,11.4,13.8,48,63,3996,PHEV,2025,2008183
벤틀리,Flying Spur,전기+휘발유,자동,PHEV,승용차,8.7,11.4,13.8,48,63,3996,PHEV,2025,2008183
마세라티,Maserati Grecale,휘발유,자동,하이브리드,승용차,9.8,9,10.9,178,,1995,4등급,2025,2520474
포드,Bronco 2.3L,휘발유,자동,내연기관,승용차,8.5,7.8,9.6,196,,2261,5등급,2025,2905959
마세라티,Maserati GranCabrio Modena,휘발유,자동,내연기관,승용차,8.4,7.2,10.5,212,,2992,5등급,2025,2940554
DFSK,MASADA 4밴,전기,없음,전기,화물차,4.1,4.8,3.4,,198,,4등급,2025,1404549
Brilliance Shineray,이티밴 엑스,전기,없음,전기,화물차,6.1,7,5.2,,303,,1등급,2025,944041
벤틀리,Flying Spur,전기+휘발유,자동,PHEV,승용차,8.7,11.4,13.8,48,63,3996,PHEV,2025,2008183
PSA Automobiles,Peugeot 408 Hybrid,휘발유,자동,하이브리드,승용차,14.1,13.7,14.7,114,,1199,2등급,2025,1751819
Lotus ,EMEYA 600 GT SE,전기,없음,전기,승용차,4.1,4.1,4.1,,486,,4등급,2025,1404549
Lotus ,EMEYA 600 SPORT SE,전기,없음,전기,승용차,4.1,4.1,4.1,,486,,4등급,2025,1404549
Lotus ,EMEYA 600 SPORT SE,전기,없음,전기,승용차,4.1,4.1,4.1,,486,,4등급,2025,1404549
Lotus ,EMEYA 600,전기,없음,전기,승용차,4.4,4.2,4.6,,518,,3등급,2025,1308784
르노코리아 주식회사,"SCENIC_E3/E3+_19""",전기,없음,전기,승용차,4.4,4.7,4.1,,460,,3등급,2025,1308784
BMW,BMW i5 M60 xDrive,전기,없음,전기,승용차,3.9,3.9,3.8,,371,,4등급,2025,1476577
르노코리아 주식회사,"SCENIC_E4_20""",전기,없음,전기,승용차,4.4,4.7,4.1,,460,,3등급,2025,1308784
BYD,BYD SEALION 7,전기,없음,전기,승용차,4.3,4.7,3.9,,405,,3등급,2025,1339221
Brilliance Shineray,이티4밴 엑스,전기,없음,전기,화물차,6.1,7,5.2,,303,,1등급,2025,944041
Lotus ,ELETRE 900 SPORT CARBON,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT CARBON,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT CARBON,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT CARBON,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT,전기,없음,전기,승용차,2.9,2.9,2.8,,375,,5등급,2025,1985741
Lotus ,ELETRE 900 SPORT CARBON,전기,없음,전기,승용차,3.1,3.1,3.1,,397,,5등급,2025,1857629
Lotus ,ELETRE 900 SPORT CARBON,전기,없음,전기,승용차,3.1,3.1,3.1,,397,,5등급,2025,1857629
Lotus ,ELETRE 900 SPORT,전기,없음,전기,승용차,3.1,3.1,3.1,,397,,5등급,2025,1857629
Lotus ,ELETRE 900 SPORT,전기,없음,전기,승용차,3.1,3.1,3.1,,397,,5등급,2025,1857629
Lotus ,ELETRE 600 SPORT SE,전기,없음,전기,승용차,3.3,3.3,3.2,,421,,5등급,2025,1745045
Lotus ,ELETRE 600 SPORT SE,전기,없음,전기,승용차,3.3,3.3,3.2,,421,,5등급,2025,1745045
Lotus ,ELETRE 600 SPORT SE,전기,없음,전기,승용차,3.3,3.3,3.2,,421,,5등급,2025,1745045
Lotus ,ELETRE 600 SPORT SE,전기,없음,전기,승용차,3.3,3.3,3.2,,421,,5등급,2025,1745045
마세라티,Maserati GT2 Stradale,휘발유,자동,내연기관,승용차,7.3,6.2,9.4,244,,2992,5등급,2025,3383651
Lotus ,ELETRE 600 GT SE,전기,없음,전기,승용차,3.5,3.6,3.4,,448,,4등급,2025,1645329
Lotus ,ELETRE 600 SPORT SE,전기,없음,전기,승용차,3.5,3.6,3.4,,448,,4등급,2025,1645329
Lotus ,ELETRE 600 SPORT SE,전기,없음,전기,승용차,3.5,3.6,3.4,,448,,4등급,2025,1645329
Lotus ,ELETRE 600,전기,없음,전기,승용차,3.6,3.4,3.8,,460,,4등급,2025,1599625
현대,넥쏘(NH2) FCEV 18인치(익스클루시브),수소,없음,FCEV,승용차,107.6,113.7,100.9,,,,FCEV,2025,
현대,넥쏘(NH2) FCEV 18인치,수소,없음,FCEV,승용차,104.7,110.8,98.2,,,,FCEV,2025,
현대,넥쏘(NH2) FCEV 19인치,수소,없음,FCEV,승용차,95.1,99.3,90.4,,,,FCEV,2025,
기아,모닝(JA) PE2 1.0가솔린 14인치 빌트인캠 없음 밴형 (25MY)	,휘발유,자동,내연기관,승용차,14.7,13.5,16.3,112,,998,경형,2025,1680316
기아,모닝(JA) PE2 1.0가솔린 14인치 빌트인캠 없음 (25MY),휘발유,자동,내연기관,승용차,14.7,13.5,16.3,112,,998,경형,2025,1680316
기아,모닝(JA) PE2 1.0가솔린 16인치 빌트인캠 없음 (25MY),휘발유,자동,내연기관,승용차,14.7,13.5,16.3,112,,998,경형,2025,1680316
