"부채보유 여부별","지역별","시점",가구분포 (%),가구원수 (명),가구주 연령 (세),경상소득(전년도) (만원),자산 (만원),부채 (만원),순자산액 (만원)
"전체","전국","2020",100.0,2.6,56.1,5966,44543,8256,36287
"전체","전국","2021",100.0,2.6,55.6,6180,50253,8801,41452
"전체","전국","2022",100.0,2.5,55.2,6470,54772,9170,45602
"전체","전국","2023",100.0,2.4,55.0,6762,52727,9186,43540
"전체","전국","2024",100.0,2.4,54.9,7185,54022,9128,44894
"전체","서울특별시","2020",19.0,2.6,55.0,6616,67839,11077,56762
"전체","서울특별시","2021",18.8,2.6,54.5,6883,76578,11716,64862
"전체","서울특별시","2022",19.0,2.5,53.6,7161,81710,11972,69738
"전체","서울특별시","2023",18.8,2.3,53.3,7290,77825,11838,65986
"전체","서울특별시","2024",18.8,2.2,52.2,7696,76173,11466,64707
"전체","인천광역시","2020",5.5,2.7,54.8,6110,40605,8498,32106
"전체","인천광역시","2021",5.5,2.7,54.1,6361,45085,8907,36178
"전체","인천광역시","2022",5.5,2.6,53.6,6335,49475,9566,39909
"전체","인천광역시","2023",5.6,2.5,53.5,6498,42796,9745,33051
"전체","인천광역시","2024",5.6,2.4,53.8,6515,39956,8673,31282
"전체","경기도","2020",24.2,2.8,53.8,6548,48437,10213,38225
"전체","경기도","2021",24.5,2.7,53.7,6782,56678,11026,45653
"전체","경기도","2022",24.4,2.7,53.7,7181,63959,11863,52095
"전체","경기도","2023",24.8,2.6,53.4,7671,62058,12140,49917
"전체","경기도","2024",24.9,2.6,53.8,8231,65945,12261,53684
"전체","부산광역시","2020",6.7,2.6,57.4,5444,36542,6712,29830
"전체","부산광역시","2021",6.7,2.6,56.6,5572,44042,8339,35703
"전체","부산광역시","2022",6.7,2.4,56.4,5737,47470,8632,38838
"전체","부산광역시","2023",6.6,2.4,56.9,5970,44825,8325,36500
"전체","부산광역시","2024",6.6,2.3,56.9,6259,45287,8048,37239
"전체","대구광역시","2020",4.7,2.6,56.9,5324,40826,7894,32932
"전체","대구광역시","2021",4.7,2.6,56.1,5353,43848,8594,35255
"전체","대구광역시","2022",4.7,2.5,54.7,5601,44547,8474,36073
"전체","대구광역시","2023",4.6,2.4,55.1,6024,42523,8232,34291
"전체","대구광역시","2024",4.7,2.3,56.6,6458,43997,8396,35601
"전체","광주광역시","2020",2.9,2.8,56.1,6079,35554,6035,29518
"전체","광주광역시","2021",2.9,2.7,55.5,6142,39428,6593,32835
"전체","광주광역시","2022",2.9,2.6,54.8,6288,42690,6898,35791
"전체","광주광역시","2023",2.9,2.5,53.9,6349,41043,6478,34565
"전체","광주광역시","2024",2.8,2.3,53.4,6573,41799,6498,35301
"전체","대전광역시","2020",3.0,2.7,55.1,5765,36864,6562,30302
"전체","대전광역시","2021",3.0,2.7,54.7,6174,45581,8106,37475
"전체","대전광역시","2022",3.0,2.5,53.9,6514,50033,7959,42074
"전체","대전광역시","2023",3.0,2.4,53.1,6768,45554,8352,37202
"전체","대전광역시","2024",3.0,2.3,52.5,7138,48422,8872,39551
"전체","울산광역시","2020",2.1,2.7,54.1,6524,39420,6776,32644
"전체","울산광역시","2021",2.1,2.7,53.9,6562,43167,6963,36204
"전체","울산광역시","2022",2.1,2.6,53.9,6829,46023,6894,39129
"전체","울산광역시","2023",2.1,2.5,54.1,7070,43056,7094,35962
"전체","울산광역시","2024",2.1,2.5,53.9,7853,45150,7049,38101
"전체","세종특별자치시","2020",0.6,3.0,52.3,7457,59671,10793,48878
"전체","세종특별자치시","2021",0.7,2.9,51.6,7552,75688,13063,62625
"전체","세종특별자치시","2022",0.7,3.0,50.7,7810,79274,14082,65192
"전체","세종특별자치시","2023",0.7,3.0,49.9,8641,72003,13936,58067
"전체","세종특별자치시","2024",0.7,2.9,50.3,9617,76663,14264,62399
"전체","강원특별자치도","2020",3.1,2.5,59.5,4962,34307,5619,28689
"전체","강원특별자치도","2021",3.1,2.4,59.2,5231,37877,5539,32338
"전체","강원특별자치도","2022",3.2,2.3,58.3,5516,36990,5370,31620
"전체","강원특별자치도","2023",3.1,2.3,57.9,5948,39853,5410,34443
"전체","강원특별자치도","2024",3.2,2.2,58.8,6077,39555,5253,34302
"전체","충청북도","2020",3.2,2.5,59.0,5310,30193,5547,24646
"전체","충청북도","2021",3.2,2.5,57.8,5533,31811,5064,26747
"전체","충청북도","2022",3.2,2.5,56.8,6131,35099,5913,29186
"전체","충청북도","2023",3.2,2.5,56.5,6233,34875,5983,28891
"전체","충청북도","2024",3.3,2.4,56.1,6939,41100,6481,34619
"전체","충청남도","2020",4.3,2.5,57.2,5363,30466,5644,24822
"전체","충청남도","2021",4.3,2.5,56.2,5570,31483,5802,25681
"전체","충청남도","2022",4.3,2.4,55.5,5779,33762,5978,27784
"전체","충청남도","2023",4.3,2.3,54.9,5970,33355,6207,27148
"전체","충청남도","2024",4.3,2.2,55.9,6519,35915,6245,29670
"전체","전라북도","2020",3.6,2.6,58.9,5374,29732,5378,24354
"전체","전라북도","2021",3.6,2.6,58.5,5788,34160,5869,28291
"전체","전라북도","2022",3.6,2.5,58.0,5984,36616,5618,30998
"전체","전라북도","2023",3.6,2.5,58.0,6099,37491,6288,31203
"전체","전라북도","2024",3.6,2.4,57.7,6291,37117,6295,30822
"전체","전라남도","2020",3.6,2.5,60.5,5330,31512,4545,26967
"전체","전라남도","2021",3.6,2.5,60.7,5493,31646,4622,27024
"전체","전라남도","2022",3.6,2.5,60.1,5785,33152,5088,28064
"전체","전라남도","2023",3.6,2.4,60.3,6093,33891,5146,28745
"전체","전라남도","2024",3.6,2.4,59.4,6609,36586,5471,31115
"전체","경상북도","2020",5.5,2.4,59.2,4924,30457,5228,25228
"전체","경상북도","2021",5.4,2.4,58.7,5166,31143,5014,26129
"전체","경상북도","2022",5.4,2.4,58.3,5668,35065,5543,29523
"전체","경상북도","2023",5.4,2.3,58.4,5803,35488,5248,30241
"전체","경상북도","2024",5.3,2.3,58.1,6368,38374,5373,33001
"전체","경상남도","2020",6.5,2.6,57.4,5346,31511,7067,24444
"전체","경상남도","2021",6.5,2.6,57.6,5378,33588,6751,26837
"전체","경상남도","2022",6.5,2.5,57.9,5522,38954,6594,32359
"전체","경상남도","2023",6.4,2.4,57.7,5952,38668,6111,32557
"전체","경상남도","2024",6.4,2.3,57.4,6194,38053,5741,32312
"전체","제주특별자치도","2020",1.3,2.7,56.8,5571,52147,7869,44278
"전체","제주특별자치도","2021",1.3,2.8,56.6,5964,56760,7764,48995
"전체","제주특별자치도","2022",1.3,2.7,55.9,6289,57466,7227,50238
"전체","제주특별자치도","2023",1.3,2.6,56.1,6460,51170,5776,45394
"전체","제주특별자치도","2024",1.3,2.5,55.9,6775,52401,7593,44808
