주유소 지역별 평균 판매가격구분 :    월간,,,,,,,,,,,,,,,,,
기간:     2015년 06월 ~ 2025년 06월,,,,,,,,,,,,,,,,,
기준선택:  지역별,,,,,,,,,,,,,,,,,
지역:  서울   부산   대구   인천   광주   대전   울산   경기   강원   충북   충남   전북   전남   경북   경남   제주   세종 ,,,,,,,,,,,,,,,,,
제품:    자동차용경유 ,,,,,,,,,,,,,,,,,
2015년 06월 ~ 2025년 06월(원/리터)  ,,,,,,,,,,,,,,,,,
구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2015년06월,1458.61,1362.94,1358.55,1365.15,1354.82,1363.66,1355.88,1373.27,1372.28,1364.34,1368.06,1358.73,1359.83,1351.76,1356.65,1425.97,1367.19
2015년07월,1445.31,1341.12,1332.9,1347.43,1341.69,1352.99,1338.08,1356.79,1366.78,1355.28,1356.55,1343.18,1352.21,1336.98,1342.24,1399.8,1355.11
2015년08월,1409.95,1293.09,1290.29,1300.54,1297.77,1302.82,1291.39,1307.01,1328.71,1307.87,1308.78,1290.22,1313.25,1286.77,1294.63,1343.92,1304.34
2015년09월,1376.38,1247.15,1248.67,1259.87,1253.78,1255.18,1250.41,1264.39,1284.65,1261.91,1263.55,1244.65,1268.41,1240.92,1245.04,1323.83,1254.78
2015년10월,1359.41,1236,1235.45,1248.31,1238.78,1245.11,1240.23,1254.61,1269.02,1248.35,1252.35,1233.6,1254.75,1230.07,1232.64,1319.92,1249.71
2015년11월,1335.3,1220.66,1214.96,1228.57,1217.27,1227.48,1224.6,1236.53,1251.46,1232.87,1238.92,1218.7,1234.41,1216.08,1220.5,1281.73,1237.69
2015년12월,1305.82,1196.75,1189.09,1203.33,1194.37,1204.36,1195.94,1213.07,1225.11,1211.59,1216.12,1196.55,1211.84,1192.12,1197.45,1248.91,1217.95
2016년01월,1250.69,1139.44,1133.77,1145.03,1144.05,1153.23,1141.58,1156.73,1173.61,1161.71,1165.08,1141.96,1161.09,1139.44,1147.34,1167.65,1167.79
2016년02월,1203.21,1081.46,1085.59,1088.91,1085.56,1094.28,1085.54,1101.3,1110.25,1106.16,1107.42,1087.36,1101.48,1079.62,1091.84,1133.14,1109.46
2016년03월,1199.92,1091.08,1088.92,1098.03,1081.12,1099.83,1084.86,1106.68,1106.94,1103.11,1106.35,1092.26,1096.84,1080.67,1091.27,1184.33,1110.1
2016년04월,1208.61,1109.6,1100.8,1111.71,1097.89,1115.74,1105.93,1123.12,1127.32,1120.74,1125.91,1110.1,1116.28,1102.68,1112.59,1214.05,1127.33
2016년05월,1260.84,1152.93,1142.86,1155.12,1137.87,1160.62,1160.14,1167.28,1160.82,1154.08,1156.29,1138.93,1140.79,1136.26,1143.51,1238.17,1166.9
2016년06월,1325.83,1220.59,1212.34,1224.19,1217.04,1225.89,1216.81,1236.01,1229.45,1217.93,1220.81,1209.91,1211.19,1207.05,1208.1,1273.39,1227.53
2016년07월,1330.56,1218.68,1213.19,1226.86,1214.17,1226.85,1217.77,1237.52,1235.92,1222.58,1227.79,1210.71,1216.68,1210.63,1212.95,1267.9,1234.59
2016년08월,1318.42,1197.08,1190.63,1211.94,1184.35,1200,1203.11,1212.3,1215.76,1201.73,1207.69,1188.12,1198.14,1189.63,1195.09,1237.05,1220.45
2016년09월,1314.51,1194.01,1185.38,1207.39,1181.32,1201.98,1198.67,1208.35,1210.68,1198.71,1203.08,1184.64,1191.62,1183.19,1187.81,1264.99,1217.5
2016년10월,1322.61,1202.66,1193.06,1216.41,1189.24,1211.69,1205.26,1217.55,1219,1207.72,1210.62,1192.09,1199.17,1190.64,1192.02,1291.18,1221.05
2016년11월,1325.47,1213.53,1201.56,1222.47,1203.54,1222.9,1217.66,1227.62,1231.55,1220.9,1222.77,1204.57,1214.07,1206.22,1203.53,1301.2,1233.12
2016년12월,1355.56,1243.94,1239.42,1253.01,1235.87,1257.3,1242.85,1257.06,1252.25,1242.9,1248.03,1232.16,1237.74,1231.27,1230.02,1314.6,1257.34
2017년01월,1403.05,1299.03,1287.64,1306.54,1283.12,1301.56,1294.95,1309.41,1300.93,1292.76,1297.45,1279.04,1287.05,1280,1283.83,1383.41,1302.63
2017년02월,1403.19,1305.4,1292.5,1309.09,1289.45,1306.57,1303.96,1313.19,1310.15,1303.26,1305.86,1288.03,1297.55,1291.15,1293.14,1384.47,1311.03
