주유소 지역별 평균 판매가격구분 :    월간,,,,,,,,,,,,,,,,,
기간:     2015년 06월 ~ 2025년 06월,,,,,,,,,,,,,,,,,
기준선택:  지역별,,,,,,,,,,,,,,,,,
지역:  서울   부산   대구   인천   광주   대전   울산   경기   강원   충북   충남   전북   전남   경북   경남   제주   세종 ,,,,,,,,,,,,,,,,,
제품:   보통휘발유 ,,,,,,,,,,,,,,,,,
2015년 06월 ~ 2025년 06월(원/리터)  ,,,,,,,,,,,,,,,,,
구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2015년06월,1670.46,1571.07,1569.5,1580.86,1564.17,1573.47,1570.94,1588.83,1582.19,1576.88,1577.64,1567.15,1567.43,1560.96,1564.64,1652.35,1580.46
2015년07월,1664.34,1558.39,1556.01,1573.02,1557.52,1571.53,1561.71,1583.57,1582.67,1577.75,1577.4,1561.99,1568.06,1557.57,1562.02,1638.94,1578.82
2015년08월,1635.58,1526.63,1520.39,1544.98,1520.2,1536.35,1524.89,1552.02,1554.43,1550.13,1547.9,1528.32,1542.04,1524.36,1528.68,1594.84,1543.23
2015년09월,1601.05,1493.24,1486.42,1513.6,1485.35,1503.02,1491.14,1518.95,1518.9,1519.35,1516.47,1497.66,1507.94,1493.02,1493.18,1561.82,1509.92
2015년10월,1582.03,1482.04,1474.18,1497.83,1472.88,1492.93,1483.24,1505.41,1502.46,1504.8,1503.82,1487.84,1494.47,1481.65,1481.25,1556.47,1504.58
2015년11월,1550.72,1457,1445.05,1460.99,1449.63,1464.83,1465.39,1475.81,1478.89,1481.83,1482.87,1465.84,1471.33,1459.43,1461.72,1510.33,1482.67
2015년12월,1516.17,1412.6,1401.71,1424.83,1413.72,1422.09,1417.77,1436.5,1439.26,1439.54,1442.94,1423.92,1435.86,1415.78,1417.21,1467.66,1448.81
2016년01월,1472.15,1367.37,1356.75,1383.03,1369.57,1379.67,1364.5,1390.59,1391.35,1390.31,1395.06,1373.38,1386.3,1366.49,1370.17,1399.57,1401.02
2016년02월,1435.31,1333.69,1330.27,1347.94,1334.67,1342.82,1328.41,1358.25,1354.31,1357.73,1360.66,1342.17,1352.03,1332.61,1336.52,1367.6,1362.64
2016년03월,1428.65,1338.16,1332.89,1344.39,1330.25,1341.31,1327.02,1356.57,1349.12,1354.2,1357.74,1342.99,1347.87,1332.3,1334.61,1396.02,1357.67
2016년04월,1436.77,1352.91,1340.73,1351.82,1341.3,1351.48,1343.32,1365.98,1361.2,1365.29,1369.11,1353.87,1359.99,1347.34,1348.79,1415.83,1366.15
2016년05월,1483.25,1385.02,1378.44,1388.45,1371.71,1388.69,1386.2,1397.35,1386.01,1386.79,1389.49,1372.03,1375.84,1370.47,1370.9,1459.23,1392.54
2016년06월,1538.04,1432.21,1430.33,1444.69,1423.88,1439.3,1432.57,1448.43,1436.49,1431.75,1434.75,1418.23,1422.52,1420.06,1418.75,1496.38,1438.95
2016년07월,1538.92,1424.76,1425.21,1443.78,1417.35,1435.49,1430.63,1446.24,1439.68,1433.33,1437.82,1417.03,1425.06,1419.49,1420.81,1487.7,1445.75
2016년08월,1525.73,1399.15,1394.2,1419.9,1383.79,1402.94,1410.49,1416.89,1416.64,1408.5,1413.53,1392.05,1402.14,1392.94,1399.6,1446.09,1426.96
2016년09월,1521.95,1398.92,1388.73,1413.62,1382.6,1407.45,1404.72,1414.9,1412.53,1406.32,1409.97,1390.13,1395.52,1387.07,1392.89,1457.13,1423.84
2016년10월,1527.36,1407.03,1397.15,1421.7,1391.81,1417.64,1411.22,1423.71,1420.5,1416.05,1417.14,1398.72,1404.28,1395.82,1397.35,1492.63,1428.2
2016년11월,1528.42,1416.29,1405.93,1425.9,1405.08,1426.05,1422.54,1432.41,1431.61,1428.22,1427.78,1409.24,1418.76,1409.92,1407.57,1507.42,1440.81
2016년12월,1561.99,1446.84,1444.04,1458.78,1440.46,1462.55,1447.61,1462.67,1453.73,1450.16,1452.74,1438.39,1442.75,1435.04,1434.28,1521.33,1462.96
2017년01월,1612.63,1503.47,1495.03,1515.93,1490.55,1509.95,1500.25,1518.34,1506.24,1502.13,1504.97,1488.66,1492.86,1486.32,1489.87,1598.67,1510.44
2017년02월,1613.06,1511,1501.06,1518.29,1497.98,1514.52,1509.4,1523.83,1517.27,1514.54,1515.32,1500.24,1504.43,1499.14,1500.23,1601.8,1520.56
2017년03월,1594.77,1493.63,1490.02,1500.86,1489.65,1503.71,1500.64,1510.06,1511.36,1507.07,1510.28,1494.15,1500.91,1492.56,1491.14,1568.92,1518.36
2017년04월,1573.84,1471.26,1467.58,1480.26,1469.4,1484.5,1480.83,1489.34,1494.39,1487.91,1492.84,1478.35,1486.23,1473.17,1469.52,1546.02,1504.83
2017년05월,1570.36,1463.8,1456.07,1477.14,1464.06,1476.57,1474.11,1484.59,1488.37,1482.89,1487.14,1473.78,1480.13,1465.56,1459.08,1530.74,1503.38
2017년06월,1552.58,1443.33,1428.59,1453.93,1438.64,1449.79,1454.73,1465.01,1474.46,1465.51,1469.43,1452.39,1462.56,1444.48,1440.65,1506.97,1489.69
2017년07월,1540.2,1423.56,1404.04,1430.22,1411.31,1431.59,1428.17,1444.03,1452.66,1442.79,1443.71,1426,1436.19,1417.66,1418.15,1498.46,1467.13
2017년08월,1561.01,1445.11,1423.05,1457.71,1426.65,1446.51,1436.3,1461.61,1459.34,1452.11,1451.02,1436.61,1440.35,1428.85,1429.73,1531.41,1468.28
2017년09월,1589.36,1477.82,1460.67,1488.9,1464.81,1479.74,1470.03,1490.18,1479.75,1476.79,1476.19,1466.62,1462.87,1456.7,1457.33,1557.6,1481.58
2017년10월,1608.41,1497.4,1485.72,1514.78,1494.54,1502.51,1492.26,1514.39,1504.34,1503.35,1502.62,1493.48,1488.55,1484.23,1480.03,1581.29,1512.67
2017년11월,1623.93,1511.89,1502.66,1531.87,1509.39,1516.26,1506.89,1530.91,1521.19,1519.5,1520.01,1509.87,1504.36,1502.19,1496.21,1610.7,1528.89
2017년12월,1636.78,1527.56,1522.2,1550.61,1528.86,1533.4,1524.68,1549.6,1542.39,1538.51,1539.7,1528.11,1526.17,1523.28,1518.23,1614.49,1550.92
2018년01월,1645.18,1540.99,1533.19,1558.48,1541.59,1550.6,1539.61,1560.44,1554.79,1550.58,1552.99,1537.98,1538.21,1534.85,1530.57,1616.16,1564.1
2018년02월,1653.64,1554.25,1543.9,1568.68,1554.52,1562.72,1555.06,1571.77,1567.74,1565.44,1568.38,1550.38,1553.58,1547.98,1542.95,1632.39,1579.81
2018년03월,1643.41,1542.05,1533.71,1557.29,1543.12,1555.05,1552.27,1564.02,1565.06,1562.03,1562.73,1544.8,1552.18,1544.6,1535.58,1597.68,1578.3
2018년04월,1641.27,1527.38,1522.67,1549.16,1529.17,1544.67,1544.98,1558.92,1560.39,1557.61,1557.65,1538.18,1548.46,1537.65,1527.88,1589.16,1561.59
2018년05월,1670.44,1561.93,1555.6,1586.76,1559.78,1576.01,1570.54,1590.45,1586.07,1583.8,1582.24,1571.05,1571.22,1563.18,1556.32,1635.43,1581.58
2018년06월,1694.76,1593.31,1588.08,1616.57,1590.6,1603.33,1595.77,1618.59,1616.75,1611.29,1608.28,1599.96,1601.98,1593.81,1586.03,1660.45,1604.15
2018년07월,1695.79,1593.79,1586.94,1615.93,1592.74,1605.45,1598.35,1620.9,1619.29,1615.11,1611.49,1600.4,1605.09,1595.93,1587.85,1648.71,1610.54
2018년08월,1704.46,1600.75,1592.44,1618.98,1599.49,1611.72,1607.59,1628.64,1628.66,1623.98,1618.77,1606.3,1610.27,1602.74,1596.17,1663.42,1621.32
