주유소 제품별 평균 판매가격구분 :    월간,,
기간:     2015년 06월 ~ 2025년 06월,,
제품:  고급휘발유   보통휘발유 ,,
2015년 06월 ~ 2025년 06월(원/리터)  ,,
제품별 평균판매가격 결과,,
구분,고급휘발유,보통휘발유
2015년06월,1930.36,1580.03
2015년07월,1922.84,1576.02
2015년08월,1896.98,1544.49
2015년09월,1866.32,1511.5
2015년10월,1854.83,1498.67
2015년11월,1829.07,1473.58
2015년12월,1803.71,1432.92
2016년01월,1763.2,1385.25
2016년02월,1722.7,1351.65
2016년03월,1718.84,1350.13
2016년04월,1720.5,1361.74
2016년05월,1748.59,1388.74
2016년06월,1784.94,1437.57
2016년07월,1779.01,1437.15
2016년08월,1759.43,1411.69
2016년09월,1760.52,1408.2
2016년10월,1767.54,1416.6
2016년11월,1769.91,1426.95
2016년12월,1794.37,1454.61
2017년01월,1837.95,1507.88
2017년02월,1842.81,1516.65
2017년03월,1833.88,1506.81
2017년04월,1820.29,1487.54
2017년05월,1813.55,1481.18
2017년06월,1799.5,1461.57
2017년07월,1789.2,1438.62
2017년08월,1804.2,1451.82
2017년09월,1822.16,1479.66
2017년10월,1835.32,1504.49
2017년11월,1847.19,1521.11
2017년12월,1855.58,1540.27
2018년01월,1860.18,1551.76
2018년02월,1867.51,1564.55
2018년03월,1861.58,1557.85
2018년04월,1860.06,1551.33
2018년05월,1878.41,1580.29
2018년06월,1897.89,1609.08
2018년07월,1898.51,1610.91
2018년08월,1904.61,1618.29
2018년09월,1919.46,1637.58
2018년10월,1948.35,1681.12
2018년11월,1861.06,1580.91
2018년12월,1773.91,1433.13
2019년01월,1715.88,1351.19
2019년02월,1703.02,1343.77
2019년03월,1714.2,1369.52
2019년04월,1752.36,1424.39
2019년05월,1818.28,1517.22
2019년06월,1817.76,1517.54
2019년07월,1799.76,1491.5
2019년08월,1797.13,1493.72
2019년09월,1826.54,1529.27
2019년10월,1829.48,1540.47
2019년11월,1820.92,1535.65
2019년12월,1823.99,1548.47
2020년01월,1832.84,1568.44
2020년02월,1816.57,1545.29
2020년03월,1765.62,1469.06
2020년04월,1647.41,1323.66
2020년05월,1580.33,1255.08
2020년06월,1610.4,1322.88
2020년07월,1633.04,1360.25
2020년08월,1636.39,1361.09
2020년09월,1629.55,1352.47
2020년10월,1618.38,1333.28
2020년11월,1609.2,1319.59
2020년12월,1629.93,1367.77
2021년01월,1678.91,1441.84
2021년02월,1703.47,1463.22
2021년03월,1751.26,1513.27
2021년04월,1770.77,1534.52
2021년05월,1780.41,1541.51
2021년06월,1810.79,1577.33
2021년07월,1859.77,1629.26
2021년08월,1880.13,1645.75
2021년09월,1877.62,1642.68
2021년10월,1938.16,1712.32
2021년11월,1946.19,1737.39
2021년12월,1871.86,1646.37
2022년01월,1870.54,1635.22
2022년02월,1935.63,1714.61
2022년03월,2151.54,1938.46
2022년04월,2193.6,1976.53
2022년05월,2183.71,1967.07
2022년06월,2298.5,2084
2022년07월,2261.02,2029.99
2022년08월,2077.53,1792.19
2022년09월,2016.95,1730
2022년10월,1955.33,1666.65
2022년11월,1935.87,1650.32
2022년12월,1864.79,1563.68
2023년01월,1852.7,1562.93
2023년02월,1852.77,1578.49
2023년03월,1855.26,1592.25
2023년04월,1892.8,1640.95
2023년05월,1888.87,1628.81
2023년06월,1857.33,1580.64
2023년07월,1857.3,1585.48
2023년08월,1954.24,1716.76
2023년09월,1999.86,1769.15
2023년10월,2009.06,1775.89
2023년11월,1950.69,1684.05
2023년12월,1881.46,1600.58
2024년01월,1853.76,1569.25
2024년02월,1883.13,1614.51
2024년03월,1897.95,1639.1
2024년04월,1935,1687.79
2024년05월,1943.9,1697.47
2024년06월,1916.71,1657.37
2024년07월,1953.28,1707.13
2024년08월,1940.98,1691.28
2024년09월,1891.4,1622.2
2024년10월,1865.12,1591.34
2024년11월,1888.68,1628.29
2024년12월,1902.17,1653.64
2025년01월,1942.42,1709.29
2025년02월,1958,1728.26
2025년03월,1934.81,1688.93
2025년04월,1910.26,1646.69
2025년05월,1905.73,1636.45
2025년06월,1905.92,1642.08
