총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,,접수대수,,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
,,,,"전체
(우선순위)
(중소기업)
(법인·기관)
(일반)",전체,우선순위,중소기업,법인·기관,택배,일반,"전체
(우선순위)
(중소기업)
(법인·기관)
(일반)",전체,우선순위,중소기업,법인·기관,택배,일반,전체,일반,"전체
(우선순위)
(중소기업)
(법인·기관)
(택배)
(일반)",전체,"전체
(우선순위)
(중소기업)
(법인·기관)
(택배)
(일반)",
서울,서울특별시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","2000
 (200)
 (200)
 (0)
 (700)
 (900)",2000,200,200,0,700,900,"812
 (382)
 (165)
 (63)
 (76)
 (126)",812,382,165,63,76,126,1188,774,"799
 (382)
 (153)
 (63)
 (76)
 (125)",799,"1201
 (0)
 (47)
 (0)
 (624)
 (775)","<2024년도 전기자동차 민간 보급사업(전기화물) 안내>
ㅇ 보급대수 : 총 2,000대(일반 900대, 택배 700대, 중소기업 생산 200대, 우선순위 200대)
ㅇ 신청일시 - 전기화물: ’24. 02. 28.(수) 10:00 ~ '24. 12. 13. 18:00 (금)(예산 소진시 조기마감)


★★★★★ 환경부 전기자동차 보급사업 보조금 업무지침('24.7.26.) 변경됨에 지원신청서 양식이 변경되었습니다. 
               반드시 하반기 공고파일을 다운받아 작성후 제출바랍니다.  ★★★★★

★자격부여 이후, 10일내 출고가능시 지원가능요청 : 출고예정증빙 첨부하면 대상자 선정★

★★대상자선정 후 10일내 출고, 출고후 10일내 지급신청 하여야 보조금 지급 가능★★

자격부여만 받고 대상자선정 없이 출고시 보조금 지급 불가함"
부산,부산광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","2100
 (990)
 (200)
 (0)
 (430)
 (480)",2100,990,200,0,430,480,"745
 (510)
 (72)
 (49)
 (44)
 (70)",745,510,72,49,44,70,1355,410,"745
 (510)
 (72)
 (49)
 (44)
 (70)",745,"1355
 (480)
 (128)
 (0)
 (386)
 (410)","ㅇ 연간 보급대수 : 7,247대(승용차 4,940, 화물차 2,100, 버스 207)
   ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음
  - 전기승용차 (4,940대) : 일반 3,550대, 택시 1,000대, 우선순위 390대
  - 전기화물차 (2,100대) : 일반 480대, 우선순위 990대, 택배 200대, 중소기업생산물량 430대
  - 전기버스(207대) : 187대(시내버스 우선) 우선순위 20대(어린이차량)
ㅇ 보급기간 : `24. 2. 27.(화)  ∼ ‘24. 12. 13.(금)
  (※ 보급기간 내 지급신청까지 완료하여야 하며, 예산소진 시 신청마감)
  (※ 중소기업, 택시, 택배, 우선지원등 별도 배정물량 중 집행되지 않은 잔여분은 10월 1일부터 통합하여 집행)
ㅇ 지역할인 대상차량 추가보조금은 07.08.(월) 접수건부터 적용"
대구,대구광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","718
 (176)
 (176)
 (0)
 (351)
 (15)",718,176,176,0,351,15,"688
 (462)
 (63)
 (24)
 (74)
 (65)",688,462,63,24,74,65,30,0,"669
 (462)
 (52)
 (22)
 (72)
 (61)",669,"49
 (0)
 (124)
 (0)
 (279)
 (0)","<2024년 전기자동차(화물) 민간보급사업 안내>
☆ 공고일 : (당초) 2024.2.23. (1차 변경) 2024.8.1. (2차 변경) 2024.10.2.
☆ 접수기간 : 2024.2.23~2024.12.6. 18:00
 ( 보급기간 내 지급신청까지 완료하여야 하며, 예산 소진 시 신청마감 )
☆ 보급대수 : 화물 718대
☆ 대상자선정기준 : 차량 출고·등록 순
☆ 신청자격 : (개인/개인사업자)구매 지원신청서 접수일 기준으로 최소 30일 이전부터 연속하여 대구시에 거주한 자
                  (법인)구매 지원신청서 접수일 기준으로 최소 30일 이전부터 연속하여 대구시에 사업장을 둔 법인

★게시된 공고문에 첨부된 서식을 사용하시기 바랍니다★

*기타 자세한 내용 공고문 참조

☆민원 전화 폭주로 업무 처리가 지연되고 있습니다. 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 가능한 자제 부탁드립니다.☆"
인천,인천광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","722
 (436)
 (85)
 (43)
 (68)
 (90)",722,436,85,43,68,90,"725
 (435)
 (85)
 (43)
 (72)
 (90)",725,435,85,43,72,90,0,0,"725
 (435)
 (85)
 (43)
 (72)
 (90)",725,"0
 (1)
 (0)
 (0)
 (0)
 (0)","★2024년 제4차 전기화물차 민간보급사업 변경공고 안내★
○ 신청기간 : 변경공고일로부터 ~ '24.11.4. (예산소진에 따른 사업종료)
○ 보급대수 : 729대(민간 728대, 공공기관 1대)
     ※ 보급대수는 차량별 보조금 차등지원에 따라 예산범위 내에서 변동될 수 있음

★민원전화 폭주로 업무처리가 매우 지연되고 있습니다.
   빠른 처리를 위해 단순 접수알림, 처리 독촉 전화는 가능한 자제 부탁드립니다."
광주,광주광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","280
 (28)
 (28)
 (0)
 (56)
 (168)",280,28,28,0,56,168,"257
 (174)
 (17)
 (14)
 (20)
 (32)",257,174,17,14,20,32,23,136,"257
 (174)
 (17)
 (14)
 (20)
 (32)",257,"23
 (0)
 (11)
 (0)
 (36)
 (136)","2024년도 전기자동차 보급사업 공모

O 지원신청서 접수 기간 : ′24.2.29. 09:00~12.6. 18:00 (또는 예산 소진시까지)
  ※ 보조금 지급신청 마감 : 2024.12.12.(목) 18:00
O 전기자동차 판매점
O 보급대수 : 2,602대 (승용차 1,775, 화물차 807, 버스(중형) 20)
  ※ 보급여건·예산범위 내에서 변동 될 수 있으며, 우선순위·택시·택배· 중소기업 배정물량은 2024년 6월까지 미 소진 시 일반 물량과 통합하여 추진
O 보조금 지원대상 차량 및 지원금액 : 무공해차 통합누리집(www.ev.or.kr) 에서 열람 가능
  ※ 열람방법 : 구매 및 지원 > 무공해차 구매보조금 지원 > 구매보조금 지급현황 > 차종, 세부 차종, 기준년도 선택 > 지자체 차종별 보조금 클릭 > 해당 
                   지자체 조회"
대전,대전광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","400
 (0)
 (0)
 (0)
 (0)
 (400)",400,0,0,0,0,400,"446
 (197)
 (39)
 (28)
 (51)
 (131)",446,197,39,28,51,131,0,269,"441
 (197)
 (34)
 (28)
 (51)
 (131)",441,"0
 (0)
 (0)
 (0)
 (0)
 (269)","○ 접수기간 : 2024. 3. 4. 10:30 ~ 2024. 12. 6. 18:00
    * 예산 또는 물량 소진 시까지
○ 보급대수 : 화물 400대 * 보급여건 및 예산증감에 따라 변동가능
  - 우선순위 10%, 중소기업 생산물량 10%, 운송사업 20%, 일반 60%
○ 신청 대수 제한
  - 개인 및 법인 : 1대

* 지원신청 접수 처리는 약 1~2일소요되며, 빠른 승인을 위해 신청서 승인요청 전화문의는 자제 부탁드립니다.

<전기자동차 지역할인제> 대상차종 현황은 본공고3 첨부파일 확인해주시기 바랍니다."
울산,울산광역시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","235
 (50)
 (12)
 (0)
 (10)
 (163)",235,50,12,0,10,163,"248
 (147)
 (24)
 (29)
 (15)
 (33)",248,147,24,29,15,33,0,130,"245
 (147)
 (23)
 (29)
 (15)
 (31)",245,"0
 (0)
 (0)
 (0)
 (0)
 (132)","<2024년 전기자동차(화물) 민간보급사업 안내> 
○ 접수기간 : 2024. 2. 29. 09:00 ~ 2024. 12. 6. 18:00  
* 예산 또는 물량 소진 시 조기마감, 24.12.13.까지 지급신청 완료되어야 보조금 지급 가능

○ 하반기 보급대수 : 400대 * 보급여건 및 예산증감에 따라 변동가능

******* 전기화물차 보조금 지원신청자는 지원신청서에 경유화물차 보유현황을 반드시 표기하시기 바랍니다. *******

○ 선정기준 : 자동차 출고·등록 순
○ 신청방법 : 10일 이내 출고 확정된 건에 대해서만 신청 가능(*자격부여 단계 생략하고 바로 대상자 선정)
 * 모든 증빙자료는 신청일 기준 30일 이내 발급된 서류여야 함
○ 신청자격 : 울산시민, 울산시 주소의 사업자 등
 * 신청일 전 3개월 이상 거주 및 설립 등 
○ 보급기준 : 개인.개인사업자, 법인·기관 1대

 * 기타 자세한 내용 공고문 참조
 * 지원신청서 및 보조금 지급신청시 첨부파일은 1개의 PDF파일로 저장하여 업로드 바랍니다.(원본 제출 불필요)
 * 구매지원신청서 접수~지원대상자 확정통보까지 순차적으로 처리예정(최소 1~2일소요) 
 * 빠른 처리를 위해 가능한 전화문의 자제 부탁드립니다."
세종,세종특별자치시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","100
 (50)
 (10)
 (0)
 (20)
 (20)",100,50,10,0,20,20,"78
 (35)
 (8)
 (3)
 (11)
 (21)",78,35,8,3,11,21,22,0,"78
 (35)
 (8)
 (3)
 (11)
 (21)",78,"22
 (15)
 (2)
 (0)
 (9)
 (0)","1. 상반기 보급대수 : 전기화물 70대
  - 우선순위 35대, 일반 14대, 택배 14대, 중소기업 7대
  ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음

2. 상반기 신청기간 : 2024. 3. 7.(목) 09:00 ~ 6. 28.(금) 17:00
  ※ 예산 소진 시 조기마감

3. 신청자격 등 세부사항 : 공고문 참조"
경기,수원시,전기화물,"*일반: 출고등록순
*우선: 출고등록순","359
 (30)
 (30)
 (0)
 (60)
 (239)",359,30,30,0,60,239,"202
 (77)
 (24)
 (19)
 (10)
 (72)",202,77,24,19,10,72,157,167,"202
 (77)
 (24)
 (19)
 (10)
 (72)",202,"157
 (0)
 (6)
 (0)
 (50)
 (167)","□ 사업개요
  ○ 사 업 명 : 전기자동차(승용·화물) 보급사업 공고(2024년 하반기)
  ○ 보급대수 : 총1,387대(승용 1,087대, 화물 300대)
    ※ 보급대수는 최대보조금 기준으로 산정/ 7월(3/4분기)부터 별도 배정 물량 중 미집행 물량은 일반물량과 통합
  ○ 접수기간 
   - 승용 :  2024. 7. 1.(월) 09:00 ~ 2024. 12. 6.(금) 18:00
   - 화물 :  2024. 7. 3.(수) 09:00 ~ 2024. 12. 6.(금) 18:00
    ※ 접수기간 내 예산소진 시 조기 마감될 수 있음
  ○ 신청대상 : 신청일로부터 60일 이상 시에 연속하여 거주한 개인 또는 법인
  ○ 신청방법 : 제조·수입사에서 무공해차 통합누리집(ev.or.kr)의 전산지원시스템으로 신청
  ○ 선정기준 : 자동차 출고·등록순
  ○ 보급차량 : 관계 법령에 의해 각종 인증을 모두 완료한 전기자동차
  ○ 자세한 사항은 공고문 참조
    ※ 사업추이에 따라 추가공고 없이 예산 및 보급대수가 변동될 수 있음
---------------------------------------------
    ※ 전산 상 표시되어있는 잔여대수와 실제 보급가능대수(=대상자선정 가능 대수)가 상이함. (차종마다 보조금 산정금액이 상이하기 때문)
    ※ (전기화물차 신청)경유화물차 보유자 중 폐차 이행자는 내연기관폐차 또는 수출말소 지원여부에 체크하시기 바람.
    ※ (전기화물차 신청)경유화물차 보유자 중 폐차 미이행자는 폐차미행자여부에 체크하시기 바람."
