번호,업체명,차종,차명,형식,사용연료,인증구분,"배출가스
인증번호","배출가스
인증일","1회충전주행거리(km)
상온 도심","1회충전주행거리(km)
상온 고속","1회충전주행거리(km)
상온 복합","1회충전주행거리(km)
저온 도심","1회충전주행거리(km)
저온 고속","1회충전주행거리(km)
저온 복합"
1,그린모빌리티,이륜,VALENCIA,ESR-5,전기(EV),신규인증,FMY-GR-24-66,2015-12-14,54.6,,,45.6,,
2,현대자동차(주),승용(소형),아이오닉 전기차,AE-EV-LE1-DEC,전기(EV),신규인증,GMY-HD-21-19,2016-05-13,206,173,191.2,141.1,170.9,154.5
3,그린모빌리티,이륜,MOTZ-TRUCK,T-GARAK,전기(EV),신규인증,GMY-GR-24-45,2016-10-13,46.8,,,37,,
1,한국지엠(주),승용(소형),볼트 EV,F76E0,전기(EV),신규인증,GMY-GD-21-3,2016-11-07,410.91,349.27,383.17,240.99,297.21,266.29
10,(주)한중모터스,이륜,제트쓰리,DC,전기(EV),신규인증,HMY-HJ-24-1,2017-03-08,40.8,,,32.9,,
4,현대자동차(주),승용(소형),아이오닉 전기차,AE-EV-LE1-DEC,전기(EV),변경인증,GMY-HD-21-19,2017-04-05,,,,134.3,162.5,147
5,(주)시엔케이,이륜,듀오,CMS-1,전기(EV),신규인증,HMY-CN-24-24,2017-04-20,65.6,,,56.6,,
9,(주)GS글로벌,승용(초대형),BYD eBus-12,K9,전기(EV),신규인증,HMY-BY-21-1,2017-05-10,,,,,,
7,테슬라코리아(유),승용(소형),Model S 100D,002,전기(EV),신규인증,HMY-TK-21-1,2017-06-26,433.4,472.9,451.2,328.2,418.8,369
8,테슬라코리아(유),승용(소형),Model S 75D,002,전기(EV),신규인증,HMY-TK-21-2,2017-06-26,352.5,368,359.5,262.7,311.6,284.7
6,(주)우진산전,승용(초대형),아폴로 전기버스,WJEB-11CTLP,전기(EV),신규인증,HMY-WJ-21-38,2017-07-19,,,200.7,,,
6,디앤에이모터스(주),이륜,EG300,DJK,전기(EV),신규인증,HMY-DL-24-4,2017-07-25,53.8,,,45.6,,
5,BMW Korea,승용(소형),BMW i3 94Ah,1Z61,전기(EV),신규인증,HMY-BK-21-17,2017-08-08,225.3,187.2,208.2,107.3,140.9,122.5
4,한국지엠(주),승용(소형),볼트 EV,F76E0,전기(EV),변경인증,GMY-GD-21-3,2017-08-14,,,,,,
7,르노코리아(주),승용(소형),SM3 ZE,B2H35-4Z,전기(EV),변경인증,BMY-SM-21-52,2017-09-08,323.358,280.022,,,,
8,그린모빌리티,이륜,VALENCIA,ESR-7,전기(EV),신규인증,HMY-GR-24-47,2017-09-17,57.6,,,45.7,,
3,(주)GS글로벌,승용(대형),BYD eBus-7,C6,전기(EV),신규인증,HMY-BY-21-2,2017-10-12,,,145.9,,,
2,테슬라코리아(유),승용(소형),Model S P100D,002,전기(EV),신규인증,HMY-TK-21-3,2017-11-02,405.3,446.9,424,302.7,417.3,354.3
9,현대자동차(주),승용(초대형),일렉시티,EC4820-A18-S,전기(EV),신규인증,HMY-HD-21-51,2017-11-03,,,319.2,,,
14,(주)이비온,승용(대형),E6,JL618S,전기(EV),신규인증,JMY-JL-21-1,2018-01-02,,,160.9,,,
