제작사 또는 수입사,모델명,에너지소비효율(km/L),배기량(cc),타이어형식(전),구동방식,적용일자,제외일자
현대자동차,아반떼 1.6 LPI 하이브리드,17.8,"1,591",185/65R15,전륜구동,2009-06-29,
현대자동차,아반떼 1.6 LPI 하이브리드,14.0,"1,591",185/65R15,전륜구동,2009-06-29,
현대자동차,아반떼 1.6 GDI 하이브리드,21.1,"1,580",205/55R16,전륜구동,2020-07-28,
현대자동차,아반떼 1.6 GDI 하이브리드,19.5,"1,580",225/45R17,전륜구동,2020-07-28,
현대자동차,더 뉴 아반떼,21.1,"1,580",205/55R16,전륜구동,2023-05-11,
현대자동차,더 뉴 아반떼,19.2,"1,580",225/45R17,전륜구동,2023-05-11,
현대자동차,더 뉴 아반떼 빌트인캠,20.9,"1,580",205/55R16,전륜구동,2023-05-11,
현대자동차,더 뉴 아반떼 빌트인캠,18.9,"1,580",225/45R17,전륜구동,2023-05-11,
현대자동차,더 뉴 아반떼 하이브리드 N Line,18.9,1580,235/40R18,전륜구동,2023-08-16,
현대자동차,쏘나타 2.0 YF 하이브리드,21.0,"1,999",205/65R16,전륜구동,2011-05-13,
현대자동차,쏘나타 2.0 YF 하이브리드,16.8,"1,999",215/55R17,전륜구동,2019-09-03,
현대자동차,쏘나타 2.0 LF 하이브리드,18.2,"1,999",205/65R16,전륜구동,2011-05-13,
현대자동차,쏘나타 2.0 LF 하이브리드,17.7,"1,999",215/55R17,전륜구동,2011-05-13,
현대자동차,쏘나타 2.0 LF 하이브리드,18.0,"1,999",205/65R16,전륜구동,2011-05-13,
현대자동차,쏘나타 2.0 LF 하이브리드,17.4,"1,999",215/55R17,전륜구동,2011-05-13,
현대자동차,쏘나타 2.0 DN8 하이브리드,20.1,"1,999",205/65R16,전륜구동,2019-08-21,
현대자동차,쏘나타 2.0 DN8 하이브리드,19.1,"1,999",215/55R17,전륜구동,2019-08-21,
현대자동차,쏘나타 2.0 DN8 하이브리드,18.0,"1,999",235/45R18,전륜구동,2019-08-21,
현대자동차,쏘나타 2.0 DN8 하이브리드,19.4,1999,205/65R16,전륜구동,2023-05-30,
현대자동차,쏘나타 2.0 DN8 하이브리드,17.8,1999,215/55R17,전륜구동,2023-05-30,
현대자동차,쏘나타 2.0 DN8 하이브리드,17.1,1999,235/45R18,전륜구동,2023-05-30,
현대자동차,쏘나타 2.0 DN8 하이브리드 빌트인캠,19.8,"1,999",205/65R16,전륜구동,2019-08-21,
현대자동차,쏘나타 2.0 DN8 하이브리드 빌트인캠,18.8,"1,999",215/55R17,전륜구동,2019-08-21,
현대자동차,쏘나타 2.0 DN8 하이브리드 빌트인캠,17.6,"1,999",235/45R18,전륜구동,2019-08-21,
현대자동차,쏘나타 2.0 DN8 하이브리드 빌트인캠,18.8,1999,205/65R16,전륜구동,2023-05-30,
현대자동차,그랜저 하이브리드,18,1598,225/55R18,전륜구동,2022-12-08,
현대자동차,그랜저 하이브리드,16.7,1598,245/45R19,전륜구동,2022-12-08,
현대자동차,그랜저 하이브리드,15.7,1598,245/40R20,전륜구동,2022-12-08,
현대자동차,그랜저 2.4 HG 하이브리드,16.0,"2,359",225/55R17,전륜구동,2013-12-23,
현대자동차,그랜저 2.4 IG 하이브리드,16.2,"2,359",225/55R17,전륜구동,2019-11-20,
현대자동차,그랜저 2.4 IG 하이브리드,15.2,"2,359",245/45R18,전륜구동,2019-11-20,
현대자동차,그랜저 2.4 IG 하이브리드 빌트인캠,15.9,"2,359",225/55R17,전륜구동,2019-11-20,
현대자동차,그랜저 2.4 IG 하이브리드 빌트인캠,14.9,"2,359",245/45R18,전륜구동,2019-11-20,
