지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm)
90,속초,2020-01,3.4,7.2,.3,148.1
90,속초,2020-02,4.1,8,-.2,55.8
90,속초,2020-03,7.9,12.6,2.7,38
90,속초,2020-04,11.3,16.1,6.3,38.4
90,속초,2020-05,17.1,21.6,13.3,245.1
90,속초,2020-06,22.2,26.4,18.3,271.9
90,속초,2020-07,21.6,24.7,19,374.7
90,속초,2020-08,25.7,29.6,22.8,411.3
90,속초,2020-09,20.1,23.8,16.8,482.8
90,속초,2020-10,14.3,19,9.7,0
90,속초,2020-11,10,14.4,5.4,19.2
90,속초,2020-12,1.8,6,-2.5,.5
90,속초,2021-01,-1.2,2.9,-5.5,0
90,속초,2021-02,3.1,7.7,-1.5,5
90,속초,2021-03,8,12.6,3.7,104.2
90,속초,2021-04,12.3,16.6,7.8,97.2
90,속초,2021-05,16.7,21.5,12.1,154.9
90,속초,2021-06,20.3,23.8,17.1,43.8
90,속초,2021-07,25.5,29.3,22.3,104.1
90,속초,2021-08,24.4,28,21.5,247.1
90,속초,2021-09,20.9,24.7,17.6,141.6
90,속초,2021-10,15.5,20,11.6,216.9
90,속초,2021-11,9.9,14.4,5.7,16.2
90,속초,2021-12,2.8,7.2,-1.9,68.7
90,속초,2022-01,-.6,3,-4.5,3.6
90,속초,2022-02,.3,4.3,-3.9,11.1
90,속초,2022-03,7.1,11.3,2.9,114.5
90,속초,2022-04,14.2,19.1,8.8,33.5
90,속초,2022-05,18.5,23.7,13.1,9.1
90,속초,2022-06,20.9,24.7,17.6,248.7
90,속초,2022-07,24.3,27.7,21.9,213.1
90,속초,2022-08,24.6,28.4,21.3,323.7
90,속초,2022-09,20.3,24.8,16.3,263.8
90,속초,2022-10,13.9,18.2,10,377.1
90,속초,2022-11,11,16,6.3,38.4
90,속초,2022-12,-.2,4.1,-4.4,.7
90,속초,2023-01,.2,4.6,-4.3,94.7
90,속초,2023-02,2.7,6.6,-1.6,43.4
90,속초,2023-03,9.3,13.4,4.6,10.1
90,속초,2023-04,12.6,17.4,8,57
90,속초,2023-05,17,21.8,12.6,81
90,속초,2023-06,21.9,26.2,17.9,200.1
90,속초,2023-07,25.8,30,22.8,108.2
90,속초,2023-08,24.7,28,22.2,669.6
90,속초,2023-09,21.7,25.1,18.5,208.2
90,속초,2023-10,16.4,21.2,11.5,31.4
90,속초,2023-11,8.8,13.6,4.2,60.1
90,속초,2023-12,2.3,5.9,-2.3,205
90,속초,2024-01,.6,4.6,-3.2,11.6
90,속초,2024-02,1.9,5.7,-1.2,125.7
90,속초,2024-03,5.7,10,1.3,58.6
90,속초,2024-04,13.9,18.4,9.5,63.4
90,속초,2024-05,17.8,22.7,13,63.4
90,속초,2024-06,22.3,26.1,18.6,133.8
90,속초,2024-07,26.8,30.3,24,109.3
90,속초,2024-08,27.6,31.2,24.3,46.4
90,속초,2024-09,22.1,25.3,19.2,457.9
90,속초,2024-10,16.1,20.2,12.4,143.2
90,속초,2024-11,10.8,15.2,6.8,17.6
90,속초,2024-12,3.1,7.2,-1,3.2
93,북춘천,2020-01,-.7,5.6,-5.8,55.9
93,북춘천,2020-02,.7,6.9,-5,35.3
93,북춘천,2020-03,6.1,13.5,-1.5,13.7
93,북춘천,2020-04,9.7,17.4,1.7,17
93,북춘천,2020-05,17.4,23.7,11.5,122.2
93,북춘천,2020-06,23.5,29.5,17.9,79.1
93,북춘천,2020-07,23.3,27.9,19.1,183.6
93,북춘천,2020-08,25.6,29.6,22.8,821.2
93,북춘천,2020-09,19,24.9,14.5,153.1
93,북춘천,2020-10,10.9,19.1,4.5,.3
93,북춘천,2020-11,5.3,12.1,-.3,75.2
93,북춘천,2020-12,-3.6,2.9,-9.1,4.8
93,북춘천,2021-01,-5.7,.7,-11.8,14.3
93,북춘천,2021-02,.4,7.6,-6.3,5.6
