연도,월,지역,차량유형,기준보조금,월별평균,조정보조금
2020,1,강원,승용,1446.111111,0.387096774,559.7849462
2020,2,강원,승용,1446.111111,1,1446.111111
2020,3,강원,승용,1446.111111,1,1446.111111
2020,4,강원,승용,1446.111111,1,1446.111111
2020,5,강원,승용,1446.111111,1,1446.111111
2020,6,강원,승용,1446.111111,1,1446.111111
2020,7,강원,승용,1446.111111,1,1446.111111
2020,8,강원,승용,1446.111111,1,1446.111111
2020,9,강원,승용,1446.111111,1,1446.111111
2020,10,강원,승용,1446.111111,1,1446.111111
2020,11,강원,승용,1446.111111,1,1446.111111
2020,12,강원,승용,1446.111111,1,1446.111111
2020,1,강원,화물,2178.45098,0.387096774,843.2713472
2020,2,강원,화물,2178.45098,1,2178.45098
2020,3,강원,화물,2178.45098,1,2178.45098
2020,4,강원,화물,2178.45098,1,2178.45098
2020,5,강원,화물,2178.45098,1,2178.45098
2020,6,강원,화물,2178.45098,1,2178.45098
2020,7,강원,화물,2178.45098,1,2178.45098
2020,8,강원,화물,2178.45098,1,2178.45098
2020,9,강원,화물,2178.45098,1,2178.45098
2020,10,강원,화물,2178.45098,1,2178.45098
2020,11,강원,화물,2178.45098,1,2178.45098
2020,12,강원,화물,2178.45098,1,2178.45098
2020,1,경기,승용,1323.225806,0.387096774,512.2164412
2020,2,경기,승용,1323.225806,1,1323.225806
2020,3,경기,승용,1323.225806,1,1323.225806
2020,4,경기,승용,1323.225806,1,1323.225806
2020,5,경기,승용,1323.225806,1,1323.225806
2020,6,경기,승용,1323.225806,1,1323.225806
2020,7,경기,승용,1323.225806,1,1323.225806
2020,8,경기,승용,1323.225806,1,1323.225806
2020,9,경기,승용,1323.225806,1,1323.225806
2020,10,경기,승용,1323.225806,1,1323.225806
2020,11,경기,승용,1323.225806,1,1323.225806
2020,12,경기,승용,1323.225806,1,1323.225806
2020,1,경기,화물,1731.333333,0.387096774,670.1935484
2020,2,경기,화물,1731.333333,1,1731.333333
2020,3,경기,화물,1731.333333,1,1731.333333
2020,4,경기,화물,1731.333333,1,1731.333333
2020,5,경기,화물,1731.333333,1,1731.333333
2020,6,경기,화물,1731.333333,1,1731.333333
2020,7,경기,화물,1731.333333,1,1731.333333
2020,8,경기,화물,1731.333333,1,1731.333333
2020,9,경기,화물,1731.333333,1,1731.333333
2020,10,경기,화물,1731.333333,1,1731.333333
2020,11,경기,화물,1731.333333,1,1731.333333
2020,12,경기,화물,1731.333333,1,1731.333333
2020,1,경남,승용,1470,0.387096774,569.0322581
2020,2,경남,승용,1470,1,1470
2020,3,경남,승용,1470,1,1470
2020,4,경남,승용,1470,1,1470
2020,5,경남,승용,1470,1,1470
2020,6,경남,승용,1470,1,1470
2020,7,경남,승용,1470,1,1470
2020,8,경남,승용,1470,1,1470
2020,9,경남,승용,1470,1,1470
2020,10,경남,승용,1470,1,1470
2020,11,경남,승용,1470,1,1470
2020,12,경남,승용,1470,1,1470
2020,1,경남,화물,2075.148148,0.387096774,803.2831541
2020,2,경남,화물,2075.148148,1,2075.148148
2020,3,경남,화물,2075.148148,1,2075.148148
2020,4,경남,화물,2075.148148,1,2075.148148
2020,5,경남,화물,2075.148148,1,2075.148148
2020,6,경남,화물,2075.148148,1,2075.148148
2020,7,경남,화물,2075.148148,1,2075.148148
2020,8,경남,화물,2075.148148,1,2075.148148
2020,9,경남,화물,2075.148148,1,2075.148148
2020,10,경남,화물,2075.148148,1,2075.148148
2020,11,경남,화물,2075.148148,1,2075.148148
2020,12,경남,화물,2075.148148,1,2075.148148
2020,1,경북,승용,1442.727273,0.387096774,558.4750733
2020,2,경북,승용,1442.727273,1,1442.727273
2020,3,경북,승용,1442.727273,1,1442.727273
2020,4,경북,승용,1442.727273,1,1442.727273
2020,5,경북,승용,1442.727273,1,1442.727273
2020,6,경북,승용,1442.727273,1,1442.727273
2020,7,경북,승용,1442.727273,1,1442.727273
2020,8,경북,승용,1442.727273,1,1442.727273
2020,9,경북,승용,1442.727273,1,1442.727273
2020,10,경북,승용,1442.727273,1,1442.727273
2020,11,경북,승용,1442.727273,1,1442.727273
2020,12,경북,승용,1442.727273,1,1442.727273
2020,1,경북,화물,1815.212121,0.387096774,702.6627566
2020,2,경북,화물,1815.212121,1,1815.212121
2020,3,경북,화물,1815.212121,1,1815.212121
2020,4,경북,화물,1815.212121,1,1815.212121
2020,5,경북,화물,1815.212121,1,1815.212121
