시점,시도별,지출목적별,데이터
2020.01,전국,0 총지수,100.09
2020.01,서울특별시,0 총지수,99.8
2020.01,부산광역시,0 총지수,100.06
2020.01,대구광역시,0 총지수,100.1
2020.01,인천광역시,0 총지수,99.94
2020.01,광주광역시,0 총지수,100.22
2020.01,대전광역시,0 총지수,100.14
2020.01,울산광역시,0 총지수,100.18
2020.01,세종특별자치시,0 총지수,100.2
2020.01,경기도,0 총지수,100.08
2020.01,강원특별자치도,0 총지수,100.39
2020.01,충청북도,0 총지수,100.29
2020.01,충청남도,0 총지수,100.34
2020.01,전라북도,0 총지수,100.31
2020.01,전라남도,0 총지수,100.28
2020.01,경상북도,0 총지수,100.36
2020.01,경상남도,0 총지수,100.2
2020.01,제주특별자치도,0 총지수,100.74
2020.02,전국,0 총지수,100.16
2020.02,서울특별시,0 총지수,99.84
2020.02,부산광역시,0 총지수,100.18
2020.02,대구광역시,0 총지수,100.22
2020.02,인천광역시,0 총지수,100.07
2020.02,광주광역시,0 총지수,100.35
2020.02,대전광역시,0 총지수,100.2
2020.02,울산광역시,0 총지수,100.29
2020.02,세종특별자치시,0 총지수,100.27
2020.02,경기도,0 총지수,100.14
2020.02,강원특별자치도,0 총지수,100.37
2020.02,충청북도,0 총지수,100.34
2020.02,충청남도,0 총지수,100.36
2020.02,전라북도,0 총지수,100.37
2020.02,전라남도,0 총지수,100.29
2020.02,경상북도,0 총지수,100.51
2020.02,경상남도,0 총지수,100.28
2020.02,제주특별자치도,0 총지수,100.43
2020.03,전국,0 총지수,99.94
2020.03,서울특별시,0 총지수,99.83
2020.03,부산광역시,0 총지수,99.91
2020.03,대구광역시,0 총지수,99.95
2020.03,인천광역시,0 총지수,99.89
2020.03,광주광역시,0 총지수,99.97
2020.03,대전광역시,0 총지수,99.91
2020.03,울산광역시,0 총지수,100.06
2020.03,세종특별자치시,0 총지수,100.02
2020.03,경기도,0 총지수,99.88
2020.03,강원특별자치도,0 총지수,100.15
2020.03,충청북도,0 총지수,100.11
2020.03,충청남도,0 총지수,100.18
2020.03,전라북도,0 총지수,100.04
2020.03,전라남도,0 총지수,100.12
2020.03,경상북도,0 총지수,100.2
2020.03,경상남도,0 총지수,99.96
2020.03,제주특별자치도,0 총지수,99.87
2020.04,전국,0 총지수,99.5
2020.04,서울특별시,0 총지수,99.61
2020.04,부산광역시,0 총지수,99.55
2020.04,대구광역시,0 총지수,99.33
2020.04,인천광역시,0 총지수,99.49
2020.04,광주광역시,0 총지수,99.6
2020.04,대전광역시,0 총지수,99.49
2020.04,울산광역시,0 총지수,99.53
2020.04,세종특별자치시,0 총지수,99.62
2020.04,경기도,0 총지수,99.46
2020.04,강원특별자치도,0 총지수,99.56
2020.04,충청북도,0 총지수,99.49
2020.04,충청남도,0 총지수,99.43
2020.04,전라북도,0 총지수,99.52
2020.04,전라남도,0 총지수,99.56
2020.04,경상북도,0 총지수,99.51
2020.04,경상남도,0 총지수,99.46
2020.04,제주특별자치도,0 총지수,99.19
2020.05,전국,0 총지수,99.44
2020.05,서울특별시,0 총지수,99.65
