"시도별","시점","연령계층별",데이터
"계","2020.1/4","계",4.2
"계","2020.2/4","계",4.4
"계","2020.3/4","계",3.6
"계","2020.4/4","계",3.7
"계","2021.1/4","계",5.0
"계","2021.2/4","계",3.9
"계","2021.3/4","계",2.8
"계","2021.4/4","계",2.9
"계","2022.1/4","계",3.5
"계","2022.2/4","계",3.0
"계","2022.3/4","계",2.5
"계","2022.4/4","계",2.6
"계","2023.1/4","계",3.2
"계","2023.2/4","계",2.7
"계","2023.3/4","계",2.3
"계","2023.4/4","계",2.6
"계","2024.1/4","계",3.3
"계","2024.2/4","계",2.9
"계","2024.3/4","계",2.2
"계","2024.4/4","계",2.8
"서울특별시","2020.1/4","계",4.5
"서울특별시","2020.2/4","계",5.3
"서울특별시","2020.3/4","계",4.0
"서울특별시","2020.4/4","계",4.4
"서울특별시","2021.1/4","계",6.1
"서울특별시","2021.2/4","계",5.2
"서울특별시","2021.3/4","계",4.0
"서울특별시","2021.4/4","계",4.0
"서울특별시","2022.1/4","계",4.4
"서울특별시","2022.2/4","계",3.6
"서울특별시","2022.3/4","계",2.8
"서울특별시","2022.4/4","계",2.9
"서울특별시","2023.1/4","계",3.0
"서울특별시","2023.2/4","계",2.8
"서울특별시","2023.3/4","계",2.5
"서울특별시","2023.4/4","계",2.7
"서울특별시","2024.1/4","계",3.2
"서울특별시","2024.2/4","계",3.5
"서울특별시","2024.3/4","계",2.5
"서울특별시","2024.4/4","계",3.0
"부산광역시","2020.1/4","계",4.1
"부산광역시","2020.2/4","계",5.1
"부산광역시","2020.3/4","계",4.0
"부산광역시","2020.4/4","계",3.5
"부산광역시","2021.1/4","계",4.5
"부산광역시","2021.2/4","계",3.5
"부산광역시","2021.3/4","계",2.6
"부산광역시","2021.4/4","계",2.8
"부산광역시","2022.1/4","계",3.4
"부산광역시","2022.2/4","계",2.9
"부산광역시","2022.3/4","계",2.7
"부산광역시","2022.4/4","계",2.8
"부산광역시","2023.1/4","계",3.3
"부산광역시","2023.2/4","계",3.4
"부산광역시","2023.3/4","계",2.6
"부산광역시","2023.4/4","계",3.2
"부산광역시","2024.1/4","계",3.6
"부산광역시","2024.2/4","계",3.1
"부산광역시","2024.3/4","계",2.4
"부산광역시","2024.4/4","계",2.8
"대구광역시","2020.1/4","계",3.9
"대구광역시","2020.2/4","계",4.4
"대구광역시","2020.3/4","계",3.5
"대구광역시","2020.4/4","계",3.7
"대구광역시","2021.1/4","계",5.1
"대구광역시","2021.2/4","계",4.3
"대구광역시","2021.3/4","계",2.9
"대구광역시","2021.4/4","계",2.6
"대구광역시","2022.1/4","계",3.3
"대구광역시","2022.2/4","계",3.1
"대구광역시","2022.3/4","계",2.5
"대구광역시","2022.4/4","계",2.8
"대구광역시","2023.1/4","계",3.9
"대구광역시","2023.2/4","계",3.1
"대구광역시","2023.3/4","계",2.4
"대구광역시","2023.4/4","계",2.9
"대구광역시","2024.1/4","계",4.1
"대구광역시","2024.2/4","계",3.6
"대구광역시","2024.3/4","계",2.8
"대구광역시","2024.4/4","계",3.2
"인천광역시","2020.1/4","계",4.6
"인천광역시","2020.2/4","계",4.9
"인천광역시","2020.3/4","계",4.1
"인천광역시","2020.4/4","계",4.7
"인천광역시","2021.1/4","계",5.4
"인천광역시","2021.2/4","계",4.8
"인천광역시","2021.3/4","계",3.2
"인천광역시","2021.4/4","계",2.7
"인천광역시","2022.1/4","계",3.8
"인천광역시","2022.2/4","계",3.6
"인천광역시","2022.3/4","계",2.9
"인천광역시","2022.4/4","계",3.1
"인천광역시","2023.1/4","계",4.5
"인천광역시","2023.2/4","계",3.1
"인천광역시","2023.3/4","계",2.5
"인천광역시","2023.4/4","계",2.6
"인천광역시","2024.1/4","계",4.0
"인천광역시","2024.2/4","계",3.5
"인천광역시","2024.3/4","계",2.2
"인천광역시","2024.4/4","계",3.3
"광주광역시","2020.1/4","계",3.7
"광주광역시","2020.2/4","계",4.3
"광주광역시","2020.3/4","계",3.5
"광주광역시","2020.4/4","계",4.0
"광주광역시","2021.1/4","계",4.8
"광주광역시","2021.2/4","계",3.7
"광주광역시","2021.3/4","계",2.8
"광주광역시","2021.4/4","계",3.1
"광주광역시","2022.1/4","계",3.8
"광주광역시","2022.2/4","계",2.8
"광주광역시","2022.3/4","계",2.4
"광주광역시","2022.4/4","계",2.5
"광주광역시","2023.1/4","계",2.5
"광주광역시","2023.2/4","계",2.6
"광주광역시","2023.3/4","계",2.1
"광주광역시","2023.4/4","계",3.1
"광주광역시","2024.1/4","계",3.2
"광주광역시","2024.2/4","계",2.9
"광주광역시","2024.3/4","계",2.5
