년도,월,지역,cpi,실업률,평균기준금리
2020,1,전국,100.09,4.2,1.25
2020,1,서울,99.8,4.5,1.25
2020,1,부산,100.06,4.1,1.25
2020,1,대구,100.1,3.9,1.25
2020,1,인천,99.94,4.6,1.25
2020,1,광주,100.22,3.7,1.25
2020,1,대전,100.14,5.1,1.25
2020,1,울산,100.18,5.0,1.25
2020,1,세종,100.2,3.0,1.25
2020,1,경기,100.08,4.2,1.25
2020,1,강원,100.39,5.1,1.25
2020,1,충북,100.29,3.7,1.25
2020,1,충남,100.34,3.9,1.25
2020,1,전북,100.31,2.8,1.25
2020,1,전남,100.28,3.1,1.25
2020,1,경북,100.36,4.2,1.25
2020,1,경남,100.2,4.0,1.25
2020,1,제주,100.74,2.7,1.25
2020,2,전국,100.16,4.2,1.25
2020,2,서울,99.84,4.5,1.25
2020,2,부산,100.18,4.1,1.25
2020,2,대구,100.22,3.9,1.25
2020,2,인천,100.07,4.6,1.25
2020,2,광주,100.35,3.7,1.25
2020,2,대전,100.2,5.1,1.25
2020,2,울산,100.29,5.0,1.25
2020,2,세종,100.27,3.0,1.25
2020,2,경기,100.14,4.2,1.25
2020,2,강원,100.37,5.1,1.25
2020,2,충북,100.34,3.7,1.25
2020,2,충남,100.36,3.9,1.25
2020,2,전북,100.37,2.8,1.25
2020,2,전남,100.29,3.1,1.25
2020,2,경북,100.51,4.2,1.25
2020,2,경남,100.28,4.0,1.25
2020,2,제주,100.43,2.7,1.25
2020,3,전국,99.94,4.2,1.0080645161290323
2020,3,서울,99.83,4.5,1.0080645161290323
2020,3,부산,99.91,4.1,1.0080645161290323
2020,3,대구,99.95,3.9,1.0080645161290323
2020,3,인천,99.89,4.6,1.0080645161290323
2020,3,광주,99.97,3.7,1.0080645161290323
2020,3,대전,99.91,5.1,1.0080645161290323
2020,3,울산,100.06,5.0,1.0080645161290323
2020,3,세종,100.02,3.0,1.0080645161290323
2020,3,경기,99.88,4.2,1.0080645161290323
2020,3,강원,100.15,5.1,1.0080645161290323
2020,3,충북,100.11,3.7,1.0080645161290323
2020,3,충남,100.18,3.9,1.0080645161290323
2020,3,전북,100.04,2.8,1.0080645161290323
2020,3,전남,100.12,3.1,1.0080645161290323
2020,3,경북,100.2,4.2,1.0080645161290323
2020,3,경남,99.96,4.0,1.0080645161290323
2020,3,제주,99.87,2.7,1.0080645161290323
2020,4,전국,99.5,4.4,0.75
2020,4,서울,99.61,5.3,0.75
2020,4,부산,99.55,5.1,0.75
2020,4,대구,99.33,4.4,0.75
2020,4,인천,99.49,4.9,0.75
2020,4,광주,99.6,4.3,0.75
2020,4,대전,99.49,5.2,0.75
2020,4,울산,99.53,4.6,0.75
2020,4,세종,99.62,3.3,0.75
2020,4,경기,99.46,4.1,0.75
2020,4,강원,99.56,3.8,0.75
2020,4,충북,99.49,3.1,0.75
2020,4,충남,99.43,4.0,0.75
2020,4,전북,99.52,2.8,0.75
2020,4,전남,99.56,2.5,0.75
2020,4,경북,99.51,4.9,0.75
2020,4,경남,99.46,4.3,0.75
2020,4,제주,99.19,3.2,0.75
2020,5,전국,99.44,4.4,0.717741935483871
2020,5,서울,99.65,5.3,0.717741935483871
2020,5,부산,99.53,5.1,0.717741935483871
2020,5,대구,99.32,4.4,0.717741935483871
2020,5,인천,99.42,4.9,0.717741935483871
2020,5,광주,99.63,4.3,0.717741935483871
2020,5,대전,99.54,5.2,0.717741935483871
