연월,시도,급속 설치건수,급속 누적건수,완속 설치건수,완속 누적건수
2014-01,강원,2,2,1,1
2014-02,강원,0,2,0,1
2014-03,강원,0,2,0,1
2014-04,강원,0,2,0,1
2014-05,강원,0,2,0,1
2014-06,강원,0,2,0,1
2014-07,강원,0,2,0,1
2014-08,강원,0,2,0,1
2014-09,강원,0,2,0,1
2014-10,강원,0,2,0,1
2014-11,강원,0,2,0,1
2014-12,강원,0,2,0,1
2015-01,강원,0,2,0,1
2015-02,강원,0,2,0,1
2015-03,강원,0,2,0,1
2015-04,강원,0,2,0,1
2015-05,강원,0,2,0,1
2015-06,강원,0,2,0,1
2015-07,강원,0,2,0,1
2015-08,강원,0,2,0,1
2015-09,강원,0,2,0,1
2015-10,강원,0,2,0,1
2015-11,강원,0,2,0,1
2015-12,강원,0,2,0,1
2016-01,강원,0,2,0,1
2016-02,강원,8,10,12,14
2016-03,강원,8,19,12,26
2016-04,강원,8,27,12,38
2016-05,강원,8,35,12,51
2016-06,강원,8,44,12,64
2016-07,강원,8,52,12,76
2016-08,강원,8,60,12,88
2016-09,강원,8,69,12,101
2016-10,강원,8,77,12,114
2016-11,강원,8,85,12,126
2016-12,강원,8,94,12,138
2017-01,강원,8,102,12,151
2017-02,강원,25,127,13,164
2017-03,강원,25,151,13,178
2017-04,강원,25,176,13,191
2017-05,강원,25,200,13,204
2017-06,강원,25,225,13,217
2017-07,강원,25,250,13,230
2017-08,강원,25,274,13,244
2017-09,강원,25,299,13,257
2017-10,강원,25,323,13,270
2017-11,강원,25,348,13,284
2017-12,강원,25,372,13,297
2018-01,강원,25,397,13,310
2018-02,강원,12,409,19,329
2018-03,강원,12,421,19,348
2018-04,강원,12,434,19,368
2018-05,강원,12,446,19,387
2018-06,강원,12,458,19,406
2018-07,강원,12,470,19,426
2018-08,강원,12,482,19,445
2018-09,강원,12,494,19,464
2018-10,강원,12,506,19,483
2018-11,강원,12,519,19,502
2018-12,강원,12,531,19,522
2019-01,강원,12,543,19,541
2019-02,강원,12,555,36,577
2019-03,강원,12,566,36,613
2019-04,강원,12,578,36,649
2019-05,강원,12,590,36,685
2019-06,강원,12,602,36,721
2019-07,강원,12,614,36,757
2019-08,강원,12,625,36,793
2019-09,강원,12,637,36,829
2019-10,강원,12,649,36,865
2019-11,강원,12,660,36,901
2019-12,강원,12,672,36,937
2020-01,강원,12,684,36,973
2020-02,강원,18,702,49,1022
2020-03,강원,18,720,49,1071
2020-04,강원,18,739,49,1120
2020-05,강원,18,757,49,1169
2020-06,강원,18,775,49,1218
2020-07,강원,18,794,49,1268
2020-08,강원,18,812,49,1317
2020-09,강원,18,830,49,1366
2020-10,강원,18,848,49,1415
2020-11,강원,18,866,49,1464
2020-12,강원,18,885,49,1513
2021-01,강원,18,903,49,1562
2021-02,강원,33,936,236,1798
2021-03,강원,33,968,236,2033
2021-04,강원,33,1001,236,2269
2021-05,강원,33,1033,236,2505
2021-06,강원,33,1066,236,2740
2021-07,강원,33,1098,236,2976
2021-08,강원,33,1131,236,3212
2021-09,강원,33,1164,236,3447
2021-10,강원,33,1196,236,3683
2021-11,강원,33,1229,236,3919
2021-12,강원,33,1261,236,4154
2022-01,강원,33,1294,236,4390
2022-02,강원,62,1356,293,4683
2022-03,강원,62,1417,293,4977
2022-04,강원,62,1479,293,5270
2022-05,강원,62,1541,293,5563
2022-06,강원,62,1602,293,5857
2022-07,강원,62,1664,293,6150
2022-08,강원,62,1726,293,6443
2022-09,강원,62,1787,293,6737
2022-10,강원,62,1849,293,7030
2022-11,강원,62,1911,293,7323
2022-12,강원,62,1972,293,7617
2023-01,강원,62,2034,293,7910
2023-02,강원,38,2072,272,8182
2023-03,강원,38,2109,272,8454
2023-04,강원,38,2147,272,8727
2023-05,강원,38,2185,272,8999
2023-06,강원,38,2222,272,9271
