연도,시도,급속 설치건수,급속 누적건수,완속 설치건수,완속 누적건수
2014,경기,16,16,40,40
2015,경기,16,16,40,40
2016,경기,16,16,40,40
2017,경기,418,434,1291,1331
2018,경기,596,1030,2718,4049
2019,경기,565,1595,2287,6336
2020,경기,382,1977,2393,8729
2021,경기,693,2670,6154,14883
2022,경기,1457,4127,25509,40392
2023,경기,3993,8120,29524,69916
2024,경기,3018,11138,33371,103287
2025,경기,979,12117,14916,118203
2026,경기,979,12117,14916,118203
2027,경기,979,12117,14916,118203
2028,경기,979,12117,14916,118203
2014,경남,0,0,2,2
2015,경남,0,0,2,2
2016,경남,8,8,9,11
2017,경남,152,160,348,359
2018,경남,209,369,308,667
2019,경남,163,532,781,1448
2020,경남,162,694,738,2186
2021,경남,462,1156,1022,3208
2022,경남,364,1520,4876,8084
2023,경남,993,2513,5487,13571
2024,경남,902,3415,5515,19086
2025,경남,127,3542,3493,22579
2026,경남,127,3542,3493,22579
2027,경남,127,3542,3493,22579
2028,경남,127,3542,3493,22579
2014,경북,4,4,6,6
2015,경북,4,4,6,6
2016,경북,4,4,6,6
2017,경북,146,150,239,245
2018,경북,305,455,318,563
2019,경북,232,687,478,1041
2020,경북,262,949,559,1600
2021,경북,413,1362,1170,2770
2022,경북,518,1880,3463,6233
2023,경북,1192,3072,3737,9970
2024,경북,678,3750,4245,14215
2025,경북,105,3855,1837,16052
2026,경북,105,3855,1837,16052
2027,경북,105,3855,1837,16052
2028,경북,105,3855,1837,16052
2014,광주,1,1,0,0
2015,광주,1,1,0,0
2016,광주,1,1,0,0
2017,광주,47,48,113,113
2018,광주,51,99,257,370
2019,광주,64,163,390,760
2020,광주,58,221,343,1103
2021,광주,103,324,669,1772
2022,광주,160,484,2450,4222
2023,광주,276,760,2908,7130
2024,광주,295,1055,3916,11046
2025,광주,66,1121,1235,12281
2026,광주,66,1121,1235,12281
2027,광주,66,1121,1235,12281
2028,광주,66,1121,1235,12281
2014,대구,1,1,7,7
2015,대구,1,1,7,7
2016,대구,1,1,7,7
2017,대구,132,133,415,422
2018,대구,148,281,450,872
2019,대구,105,386,506,1378
2020,대구,144,530,410,1788
2021,대구,119,649,1552,3340
2022,대구,252,901,4462,7802
2023,대구,577,1478,4577,12379
2024,대구,183,1661,4677,17056
2025,대구,40,1701,2254,19310
2026,대구,40,1701,2254,19310
2027,대구,40,1701,2254,19310
2028,대구,40,1701,2254,19310
2014,대전,0,0,1,1
2015,대전,0,0,1,1
2016,대전,0,0,1,1
2017,대전,91,91,191,192
2018,대전,53,144,152,344
2019,대전,77,221,373,717
2020,대전,51,272,222,939
2021,대전,132,404,729,1668
2022,대전,225,629,2826,4494
2023,대전,309,938,3891,8385
2024,대전,290,1228,2061,10446
2025,대전,51,1279,1461,11907
2026,대전,51,1279,1461,11907
2027,대전,51,1279,1461,11907
2028,대전,51,1279,1461,11907
2014,부산,5,5,6,6
2015,부산,5,5,6,6
2016,부산,5,5,6,6
2017,부산,95,100,284,290
2018,부산,70,170,453,743
2019,부산,62,232,846,1589
2020,부산,48,280,448,2037
2021,부산,112,392,1142,3179
2022,부산,325,717,6459,9638
2023,부산,837,1554,8368,18006
2024,부산,332,1886,4867,22873
2025,부산,91,1977,2736,25609
2026,부산,91,1977,2736,25609
2027,부산,91,1977,2736,25609
2028,부산,91,1977,2736,25609
2014,서울,0,0,1,1
2015,서울,3,3,5,6
2016,서울,11,14,19,25
2017,서울,326,340,946,971
2018,서울,216,556,1118,2089
2019,서울,195,751,1016,3105
2020,서울,260,1011,1606,4711
2021,서울,422,1433,6806,11517
2022,서울,905,2338,17213,28730
2023,서울,1635,3973,13320,42050
2024,서울,1046,5019,13054,55104
2025,서울,438,5457,4967,60071
2026,서울,438,5457,4967,60071
2027,서울,438,5457,4967,60071
2028,서울,438,5457,4967,60071
2014,세종,0,0,1,1
2015,세종,0,0,1,1
2016,세종,0,0,1,1
2017,세종,44,44,92,93
2018,세종,50,94,168,261
2019,세종,23,117,92,353
2020,세종,17,134,101,454
2021,세종,46,180,264,718
2022,세종,55,235,1490,2208
2023,세종,125,360,1502,3710
2024,세종,82,442,816,4526
2025,세종,31,473,508,5034
2026,세종,31,473,508,5034
2027,세종,31,473,508,5034
2028,세종,31,473,508,5034
2014,울산,0,0,2,2
