연도,월,시도,휘발유가격,디젤가격
2015,6,서울,1670.46,1458.61
2015,6,부산,1571.07,1362.94
2015,6,대구,1569.5,1358.55
2015,6,인천,1580.86,1365.15
2015,6,광주,1564.17,1354.82
2015,6,대전,1573.47,1363.66
2015,6,울산,1570.94,1355.88
2015,6,경기,1588.83,1373.27
2015,6,강원,1582.19,1372.28
2015,6,충북,1576.88,1364.34
2015,6,충남,1577.64,1368.06
2015,6,전북,1567.15,1358.73
2015,6,전남,1567.43,1359.83
2015,6,경북,1560.96,1351.76
2015,6,경남,1564.64,1356.65
2015,6,제주,1652.35,1425.97
2015,6,세종,1580.46,1367.19
2015,7,서울,1664.34,1445.31
2015,7,부산,1558.39,1341.12
2015,7,대구,1556.01,1332.9
2015,7,인천,1573.02,1347.43
2015,7,광주,1557.52,1341.69
2015,7,대전,1571.53,1352.99
2015,7,울산,1561.71,1338.08
2015,7,경기,1583.57,1356.79
2015,7,강원,1582.67,1366.78
2015,7,충북,1577.75,1355.28
2015,7,충남,1577.4,1356.55
2015,7,전북,1561.99,1343.18
2015,7,전남,1568.06,1352.21
2015,7,경북,1557.57,1336.98
2015,7,경남,1562.02,1342.24
2015,7,제주,1638.94,1399.8
2015,7,세종,1578.82,1355.11
2015,7,전국,1922.84,1354.65
2015,8,서울,1635.58,1409.95
2015,8,부산,1526.63,1293.09
2015,8,대구,1520.39,1290.29
2015,8,인천,1544.98,1300.54
2015,8,광주,1520.2,1297.77
2015,8,대전,1536.35,1302.82
2015,8,울산,1524.89,1291.39
2015,8,경기,1552.02,1307.01
2015,8,강원,1554.43,1328.71
2015,8,충북,1550.13,1307.87
2015,8,충남,1547.9,1308.78
2015,8,전북,1528.32,1290.22
2015,8,전남,1542.04,1313.25
2015,8,경북,1524.36,1286.77
2015,8,경남,1528.68,1294.63
2015,8,제주,1594.84,1343.92
2015,8,세종,1543.23,1304.34
2015,8,전국,1896.98,1307.77
2015,9,서울,1601.05,1376.38
2015,9,부산,1493.24,1247.15
2015,9,대구,1486.42,1248.67
2015,9,인천,1513.6,1259.87
2015,9,광주,1485.35,1253.78
2015,9,대전,1503.02,1255.18
2015,9,울산,1491.14,1250.41
2015,9,경기,1518.95,1264.39
2015,9,강원,1518.9,1284.65
2015,9,충북,1519.35,1261.91
2015,9,충남,1516.47,1263.55
2015,9,전북,1497.66,1244.65
2015,9,전남,1507.94,1268.41
2015,9,경북,1493.02,1240.92
2015,9,경남,1493.18,1245.04
2015,9,제주,1561.82,1323.83
2015,9,세종,1509.92,1254.78
2015,9,전국,1866.32,1263.79
2015,10,서울,1582.03,1359.41
2015,10,부산,1482.04,1236.0
2015,10,대구,1474.18,1235.45
2015,10,인천,1497.83,1248.31
2015,10,광주,1472.88,1238.78
2015,10,대전,1492.93,1245.11
2015,10,울산,1483.24,1240.23
2015,10,경기,1505.41,1254.61
2015,10,강원,1502.46,1269.02
2015,10,충북,1504.8,1248.35
2015,10,충남,1503.82,1252.35
2015,10,전북,1487.84,1233.6
2015,10,전남,1494.47,1254.75
2015,10,경북,1481.65,1230.07
2015,10,경남,1481.25,1232.64
2015,10,제주,1556.47,1319.92
2015,10,세종,1504.58,1249.71
2015,10,전국,1854.83,1251.92
2015,11,서울,1550.72,1335.3
2015,11,부산,1457.0,1220.66
2015,11,대구,1445.05,1214.96
2015,11,인천,1460.99,1228.57
2015,11,광주,1449.63,1217.27
2015,11,대전,1464.83,1227.48
2015,11,울산,1465.39,1224.6
2015,11,경기,1475.81,1236.53
2015,11,강원,1478.89,1251.46
2015,11,충북,1481.83,1232.87
2015,11,충남,1482.87,1238.92
2015,11,전북,1465.84,1218.7
2015,11,전남,1471.33,1234.41
2015,11,경북,1459.43,1216.08
2015,11,경남,1461.72,1220.5
2015,11,제주,1510.33,1281.73
2015,11,세종,1482.67,1237.69
2015,11,전국,1829.07,1234.95
2015,12,서울,1516.17,1305.82
2015,12,부산,1412.6,1196.75
2015,12,대구,1401.71,1189.09
2015,12,인천,1424.83,1203.33
2015,12,광주,1413.72,1194.37
2015,12,대전,1422.09,1204.36
2015,12,울산,1417.77,1195.94
2015,12,경기,1436.5,1213.07
2015,12,강원,1439.26,1225.11
2015,12,충북,1439.54,1211.59
2015,12,충남,1442.94,1216.12
2015,12,전북,1423.92,1196.55
2015,12,전남,1435.86,1211.84
2015,12,경북,1415.78,1192.12
2015,12,경남,1417.21,1197.45
2015,12,제주,1467.66,1248.91
2015,12,세종,1448.81,1217.95
2015,12,전국,1803.71,1211.03
2016,1,서울,1472.15,1250.69
2016,1,부산,1367.37,1139.44
2016,1,대구,1356.75,1133.77
2016,1,인천,1383.03,1145.03
2016,1,광주,1369.57,1144.05
2016,1,대전,1379.67,1153.23
2016,1,울산,1364.5,1141.58
2016,1,경기,1390.59,1156.73
2016,1,강원,1391.35,1173.61
2016,1,충북,1390.31,1161.71
2016,1,충남,1395.06,1165.08
2016,1,전북,1373.38,1141.96
2016,1,전남,1386.3,1161.09
2016,1,경북,1366.49,1139.44
2016,1,경남,1370.17,1147.34
2016,1,제주,1399.57,1167.65
2016,1,세종,1401.02,1167.79
2016,1,전국,1763.2,1157.33
2016,2,서울,1435.31,1203.21
2016,2,부산,1333.69,1081.46
2016,2,대구,1330.27,1085.59
2016,2,인천,1347.94,1088.91
2016,2,광주,1334.67,1085.56
2016,2,대전,1342.82,1094.28
2016,2,울산,1328.41,1085.54
2016,2,경기,1358.25,1101.3
2016,2,강원,1354.31,1110.25
2016,2,충북,1357.73,1106.16
2016,2,충남,1360.66,1107.42
2016,2,전북,1342.17,1087.36
2016,2,전남,1352.03,1101.48
2016,2,경북,1332.61,1079.62
2016,2,경남,1336.52,1091.84
2016,2,제주,1367.6,1133.14
2016,2,세종,1362.64,1109.46
2016,2,전국,1722.7,1101.12
2016,3,서울,1428.65,1199.92
2016,3,부산,1338.16,1091.08
2016,3,대구,1332.89,1088.92
2016,3,인천,1344.39,1098.03
2016,3,광주,1330.25,1081.12
2016,3,대전,1341.31,1099.83
2016,3,울산,1327.02,1084.86
2016,3,경기,1356.57,1106.68
2016,3,강원,1349.12,1106.94
2016,3,충북,1354.2,1103.11
2016,3,충남,1357.74,1106.35
2016,3,전북,1342.99,1092.26
2016,3,전남,1347.87,1096.84
2016,3,경북,1332.3,1080.67
2016,3,경남,1334.61,1091.27
2016,3,제주,1396.02,1184.33
2016,3,세종,1357.67,1110.1
2016,3,전국,1718.84,1103.15
2016,4,서울,1436.77,1208.61
2016,4,부산,1352.91,1109.6
2016,4,대구,1340.73,1100.8
2016,4,인천,1351.82,1111.71
2016,4,광주,1341.3,1097.89
2016,4,대전,1351.48,1115.74
2016,4,울산,1343.32,1105.93
2016,4,경기,1365.98,1123.12
2016,4,강원,1361.2,1127.32
2016,4,충북,1365.29,1120.74
2016,4,충남,1369.11,1125.91
2016,4,전북,1353.87,1110.1
2016,4,전남,1359.99,1116.28
2016,4,경북,1347.34,1102.68
2016,4,경남,1348.79,1112.59
2016,4,제주,1415.83,1214.05
2016,4,세종,1366.15,1127.33
2016,4,전국,1720.5,1121.36
2016,5,서울,1483.25,1260.84
2016,5,부산,1385.02,1152.93
2016,5,대구,1378.44,1142.86
2016,5,인천,1388.45,1155.12
2016,5,광주,1371.71,1137.87
2016,5,대전,1388.69,1160.62
