년도,월,지역,완속충전기_신규설치,급속충전기_신규설치,전체충전기_신규설치,완속충전기_누적대수,급속충전기_누적대수,전체충전기_누적대수
2019,1,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,2,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,3,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,4,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,5,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,6,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,7,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,8,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,9,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,10,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,11,강원,226.0,146.0,372.0,226.0,146.0,372.0
2019,12,강원,226.0,146.0,372.0,226.0,146.0,372.0
2020,1,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,2,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,3,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,4,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,5,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,6,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,7,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,8,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,9,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,10,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,11,강원,432.0,141.0,573.0,658.0,287.0,945.0
2020,12,강원,432.0,141.0,573.0,658.0,287.0,945.0
2021,1,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,2,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,3,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,4,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,5,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,6,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,7,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,8,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,9,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,10,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,11,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2021,12,강원,589.0,219.0,808.0,1247.0,506.0,1753.0
2022,1,강원,2828.0,391.0,3219.0,4075.0,897.0,4972.0
