년도,지역,차종,보조금
2020,강원,승용,1446.111111111111
2020,강원,화물,2707.6470588235293
2020,경기,승용,1323.225806451613
2020,경기,화물,2705.8064516129034
2020,경남,승용,1470.0
2020,경남,화물,2466.6666666666665
2020,경북,승용,1442.7272727272727
2020,경북,화물,2422.7272727272725
2020,광주,승용,1400.0
2020,광주,화물,2400.0
2020,대구,승용,1320.0
2020,대구,화물,2700.0
2020,대전,승용,1520.0
2020,대전,화물,2600.0
2020,부산,승용,1320.0
2020,부산,화물,2300.0
2020,서울,승용,1270.0
2020,서울,화물,2700.0
2020,세종,승용,1220.0
2020,세종,화물,0.0
2020,울산,승용,1420.0
2020,울산,화물,2400.0
2020,인천,승용,1400.0
2020,인천,화물,2400.0
2020,전국,승용,1487.371794871795
2020,전국,화물,2607.3026315789475
2020,전남,승용,1616.5
2020,전남,화물,2516.6666666666665
2020,전북,승용,1720.0
2020,전북,화물,2757.1428571428573
2020,제주,승용,1320.0
2020,제주,화물,2500.0
2020,충남,승용,1566.1538461538462
2020,충남,화물,2700.0
2020,충북,승용,1620.0
2020,충북,화물,2700.0
2021,강원,승용,1320.0
2021,강원,화물,3150.0
2021,경기,승용,1248.3870967741937
2021,경기,화물,2935.1612903225805
2021,경남,승용,1447.2222222222222
2021,경남,화물,2730.5555555555557
2021,경북,승용,1421.7391304347825
2021,경북,화물,2726.086956521739
2021,광주,승용,1300.0
2021,광주,화물,2600.0
2021,대구,승용,1250.0
2021,대구,화물,2550.0
2021,대전,승용,1500.0
2021,대전,화물,3150.0
2021,부산,승용,1250.0
2021,부산,화물,2600.0
2021,서울,승용,1000.0
2021,서울,화물,3150.0
2021,세종,승용,820.0
2021,세종,화물,2400.0
2021,울산,승용,1350.0
2021,울산,화물,2650.0
2021,인천,승용,1280.0
2021,인천,화물,2880.0
2021,전국,승용,1436.1490683229813
2021,전국,화물,2894.89375
2021,전남,승용,1559.5454545454545
2021,전남,화물,2818.190476190476
2021,전북,승용,1700.0
2021,전북,화물,3000.0
2021,제주,승용,1250.0
2021,제주,화물,2700.0
2021,충남,승용,1553.3333333333333
2021,충남,화물,2985.4
2021,충북,승용,1600.0
2021,충북,화물,3000.0
2022,강원,승용,1140.0
2022,강원,화물,2716.8333333333335
2022,경기,승용,1087.0967741935483
2022,경기,화물,2650.8333333333335
2022,경남,승용,1349.7222222222222
2022,경남,화물,2496.777777777778
2022,경북,승용,1321.7391304347825
2022,경북,화물,2466.090909090909
2022,광주,승용,1100.0
2022,광주,화물,2240.0
2022,대구,승용,1100.0
2022,대구,화물,2240.0
2022,대전,승용,1200.0
2022,대전,화물,3556.0
2022,부산,승용,1050.0
2022,부산,화물,2340.0
2022,서울,승용,900.0
2022,서울,화물,2628.0
2022,세종,승용,900.0
2022,세종,화물,2240.0
2022,울산,승용,1050.0
2022,울산,화물,2240.0
2022,인천,승용,1060.0
2022,인천,화물,2628.0
2022,전국,승용,1297.7950310559006
2022,전국,화물,2634.5911949685533
2022,전남,승용,1498.6363636363637
2022,전남,화물,2648.6363636363635
2022,전북,승용,1500.0
2022,전북,화물,2890.785714285714
2022,제주,승용,1100.0
2022,제주,화물,2340.0
2022,충남,승용,1413.3333333333333
2022,충남,화물,2736.2
2022,충북,승용,1400.0
2022,충북,화물,2640.0
2023,강원,승용,1040.0
2023,강원,화물,2160.0
2023,경기,승용,1047.741935483871
2023,경기,화물,2227.5806451612902
2023,경남,승용,1325.2777777777778
2023,경남,화물,2251.1111111111113
2023,경북,승용,1301.7391304347825
2023,경북,화물,2087.391304347826
2023,광주,승용,1070.0
2023,광주,화물,1885.0
2023,대구,승용,1030.0
2023,대구,화물,1946.0
2023,대전,승용,1030.0
2023,대전,화물,2007.0
2023,부산,승용,980.0
2023,부산,화물,1860.0
2023,서울,승용,860.0
2023,서울,화물,1946.0
2023,세종,승용,1080.0
2023,세종,화물,1860.0
2023,울산,승용,1020.0
2023,울산,화물,1898.0
2023,인천,승용,1030.0
2023,인천,화물,2190.0
2023,전국,승용,1249.472049689441
2023,전국,화물,2219.0434782608695
2023,전남,승용,1455.0
2023,전남,화물,2286.7272727272725
2023,전북,승용,1380.0
2023,전북,화물,2282.6428571428573
2023,제주,승용,1080.0
2023,제주,화물,2068.0
2023,충남,승용,1380.0
2023,충남,화물,2373.0666666666666
2023,충북,승용,1360.0
2023,충북,화물,2298.181818181818
2024,강원,승용,938.0
2024,강원,화물,2224.0
2024,경기,승용,967.9032258064516
2024,경기,화물,2179.6451612903224
2024,경남,승용,1298.888888888889
2024,경남,화물,2070.0
2024,경북,승용,1273.090909090909
2024,경북,화물,2270.0
2024,광주,승용,1020.0
2024,광주,화물,1871.0
2024,대구,승용,950.0
2024,대구,화물,1961.0
2024,대전,승용,950.0
2024,대전,화물,1977.0
2024,부산,승용,950.0
2024,부산,화물,1850.0
2024,서울,승용,800.0
2024,서울,화물,2022.0
2024,세종,승용,900.0
2024,세종,화물,1816.0
2024,울산,승용,975.0
2024,울산,화물,1885.0
2024,인천,승용,950.0
2024,인천,화물,2188.0
2024,전국,승용,1191.6875
2024,전국,화물,2209.6
2024,전남,승용,1378.1818181818182
2024,전남,화물,2160.409090909091
2024,전북,승용,1350.0
2024,전북,화물,2372.0
2024,제주,승용,1050.0
2024,제주,화물,2109.0
2024,충남,승용,1350.0
2024,충남,화물,2350.0
2024,충북,승용,1307.090909090909
2024,충북,화물,2279.0
