시도,지역구분,보조금/승용(만원) (국비+지방비),보조금/초소형(만원) (국비+지방비),보조금/화물(만원) (국비+지방비),보조금/승합(만원) (국비+지방비),년도,차종,보조금/승용(만원) (국비+지방비+보급목표이행보조금등)
협회,한국자동차환경협회,820.0,,"초소형512  경형1,100  소형1,800",,2020,승용,
서울,서울특별시,1270.0,680.0,"초소형768  경형1,650  소형2,700","중형12,000  대형33,400",2020,승용,
부산,부산광역시,1320.0,700.0,"초소형762  경형1,600  소형2,300","중형6,000  대형16,700",2020,승용,
대구,대구광역시,1320.0,600.0,"소형2,700","중형6,000",2020,승용,
인천,인천광역시,1400.0,670.0,"초소형812  경형1,600  소형2,400",,2020,승용,
광주,광주광역시,1400.0,650.0,"초소형512  경형1,600  소형2,400","중형6,000  대형23,000",2020,승용,
대전,대전광역시,1520.0,700.0,"소형2,600",,2020,승용,
울산,울산광역시,1420.0,700.0,"소형2,400",,2020,승용,
세종,세종특별자치시,1220.0,600.0,,,2020,승용,
경기,수원시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,성남시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,의정부시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,안양시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,부천시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700",2020,승용,
경기,광명시,1320.0,650.0,"초소형768  경형1,650  소형2,880","대형16,700",2020,승용,
경기,평택시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,동두천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,안산시,1420.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,고양시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,과천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,구리시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,남양주시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,오산시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형26,720",2020,승용,
경기,시흥시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,군포시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,의왕시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,하남시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700",2020,승용,
경기,용인시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,파주시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700",2020,승용,
경기,이천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,안성시,1320.0,650.0,"소형2,700",,2020,승용,
경기,김포시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형9,600  대형16,700",2020,승용,
경기,화성시,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,광주시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,양주시,1320.0,650.0,"초소형768  경형1,650  소형2,700","대형16,700",2020,승용,
경기,포천시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,여주시,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
경기,연천군,1320.0,650.0,"초소형512  경형1,100  소형2,700",,2020,승용,
경기,가평군,1320.0,650.0,"초소형768  경형1,650  소형2,700","중형6,000  대형16,700",2020,승용,
경기,양평군,1320.0,650.0,"초소형768  경형1,650  소형2,700",,2020,승용,
강원,춘천시,1560.0,770.0,"초소형1,072  경형1,800  소형2,700","중형6,000  대형17,791",2020,승용,
강원,원주시,1420.0,700.0,"초소형1,072  경형1,100  소형2,700",,2020,승용,
강원,강릉시,1420.0,700.0,"초소형1,072  경형1,100  소형2,700","대형17,632",2020,승용,
강원,동해시,1420.0,700.0,"소형2,700",,2020,승용,
강원,태백시,1420.0,,"초소형842  소형2,700",,2020,승용,
강원,속초시,1420.0,700.0,"초소형1,072  소형2,700","중형10,800  대형24,700",2020,승용,
강원,삼척시,1550.0,,"소형2,830","대형16,700",2020,승용,
강원,홍천군,1420.0,700.0,"초소형912  소형2,700",,2020,승용,
강원,횡성군,1420.0,,"초소형1,072  소형2,700","대형16,700",2020,승용,
강원,영월군,1420.0,700.0,"소형2,700",,2020,승용,
강원,평창군,1420.0,700.0,"초소형1,072  소형2,700","중형6,000  대형24,700",2020,승용,
강원,정선군,1420.0,,"소형2,700",,2020,승용,
강원,철원군,1420.0,700.0,"소형2,700",,2020,승용,
강원,화천군,1420.0,700.0,"초소형912  소형2,700",,2020,승용,
강원,양구군,1420.0,700.0,"소형2,700",,2020,승용,
강원,인제군,1620.0,,"소형2,700",,2020,승용,
강원,고성군,1420.0,700.0,"초소형1,072  경형1,800  소형2,700",,2020,승용,
강원,양양군,1420.0,700.0,,,2020,승용,
충북,청주시,1620.0,900.0,"소형2,700","대형16,700",2020,승용,
충북,충주시,1620.0,,"초소형512  경형1,100  소형2,700",,2020,승용,
충북,제천시,1620.0,900.0,"초소형1,412  경형2,000  소형2,700",,2020,승용,
충북,보은군,1620.0,900.0,"초소형1,412  경형2,000  소형2,700","중형6,000  대형16,700",2020,승용,
충북,옥천군,1620.0,900.0,"소형2,700",,2020,승용,
충북,영동군,1620.0,900.0,"소형2,700",,2020,승용,
충북,증평군,1620.0,,"소형2,700",,2020,승용,
충북,진천군,1620.0,900.0,"소형2,700",,2020,승용,
충북,괴산군,1620.0,900.0,"소형2,700",,2020,승용,
충북,음성군,1620.0,900.0,"소형2,700",,2020,승용,
충북,단양군,1620.0,900.0,"소형2,700",,2020,승용,
충남,천안시,1520.0,750.0,"초소형512  경형1,100  소형2,700",,2020,승용,
충남,공주시,1520.0,800.0,"초소형762  경형1,700  소형2,700",,2020,승용,
충남,보령시,1520.0,750.0,"초소형762  경형1,700  소형2,700",,2020,승용,
충남,아산시,1520.0,750.0,"소형2,700",,2020,승용,
충남,서산시,1820.0,800.0,"초소형762  경형1,700  소형2,700","중형6,000  대형16,700",2020,승용,
충남,논산시,1520.0,750.0,"소형2,700",,2020,승용,
충남,계룡시,1520.0,750.0,"초소형762  경형1,700  소형2,700",,2020,승용,
충남,당진시,1820.0,910.0,"초소형762  경형1,700  소형2,700","중형6,000  대형23,500",2020,승용,
충남,금산군,,,,"중형6,000  대형16,700",2020,승용,
충남,부여군,1520.0,750.0,"초소형512  경형1,100  소형2,700",,2020,승용,
충남,서천군,1520.0,750.0,"소형2,700",,2020,승용,
충남,청양군,1520.0,750.0,"소형2,700",,2020,승용,
충남,홍성군,1520.0,,"초소형512  경형1,100  소형2,700",,2020,승용,
충남,예산군,,,,,2020,승용,
충남,태안군,1520.0,750.0,"소형2,700",,2020,승용,
전북,전주시,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,군산시,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,익산시,1720.0,650.0,"초소형812  경형1,750  소형3,500",,2020,승용,
전북,정읍시,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,남원시,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,김제시,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,완주군,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,진안군,1720.0,,"소형2,700",,2020,승용,
전북,무주군,1720.0,,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,장수군,1720.0,,"초소형512  경형1,100  소형2,700",,2020,승용,
전북,임실군,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,순창군,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,고창군,1720.0,650.0,"초소형812  경형1,750  소형2,700",,2020,승용,
전북,부안군,1720.0,,"초소형512  경형1,100  소형2,700",,2020,승용,
전남,목포시,1540.0,640.0,"소형2,520",,2020,승용,
전남,여수시,1660.0,809.0,"소형2,640",,2020,승용,
전남,순천시,1540.0,760.0,"소형2,640",,2020,승용,
전남,나주시,1780.0,880.0,"초소형908  경형1,700  소형2,760",,2020,승용,
전남,광양시,1660.0,820.0,"소형2,640","대형16,700",2020,승용,
전남,담양군,1540.0,,"소형2,520",,2020,승용,
전남,곡성군,1640.0,,"소형2,760",,2020,승용,
전남,구례군,1520.0,400.0,,,2020,승용,
전남,고흥군,1660.0,,"초소형512  경형1,100  소형2,640",,2020,승용,
전남,보성군,1520.0,,,,2020,승용,
전남,화순군,,,,,2020,승용,
전남,장흥군,1540.0,,"소형2,520",,2020,승용,
전남,강진군,1660.0,,"소형1,800",,2020,승용,
전남,해남군,1660.0,,"소형2,640",,2020,승용,
전남,영암군,1660.0,820.0,"소형2,640",,2020,승용,
전남,무안군,1540.0,500.0,"소형2,520",,2020,승용,
전남,함평군,1760.0,880.0,"초소형512  경형1,100  소형2,760",,2020,승용,
전남,영광군,1540.0,1100.0,"초소형512  경형1,100  소형1,800","중형6,000  대형16,700",2020,승용,
전남,장성군,1590.0,,"소형2,460",,2020,승용,
전남,완도군,1540.0,650.0,"초소형512  경형1,100  소형2,520",,2020,승용,
전남,진도군,1780.0,880.0,"소형2,520",,2020,승용,
전남,신안군,,,,,2020,승용,
경북,포항시,1420.0,700.0,"초소형512  경형1,100  소형2,400","중형6,000  대형28,200",2020,승용,
경북,경주시,1420.0,700.0,"소형2,400",,2020,승용,
경북,김천시,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,안동시,1420.0,,"소형2,400",,2020,승용,
경북,구미시,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,영주시,1420.0,700.0,"초소형1,112  경형1,700  소형2,400",,2020,승용,
경북,영천시,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,상주시,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,문경시,1420.0,700.0,"초소형512  경형1,100  소형2,400",,2020,승용,
경북,경산시,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,군위군,1420.0,,"소형2,400",,2020,승용,
경북,의성군,1420.0,700.0,"초소형812  경형1,700  소형2,400","중형6,000  대형16,700",2020,승용,
경북,청송군,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,영양군,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,영덕군,1420.0,700.0,"소형2,400",,2020,승용,
경북,청도군,1420.0,700.0,"초소형812  경형1,700  소형2,400","중형6,000  대형16,700",2020,승용,
경북,고령군,1420.0,700.0,"초소형1,112  경형1,700  소형2,400",,2020,승용,
경북,성주군,1420.0,700.0,"초소형1,112  경형1,700  소형2,400",,2020,승용,
경북,칠곡군,1420.0,700.0,"소형2,400",,2020,승용,
경북,예천군,1420.0,700.0,"초소형812  경형1,700  소형2,400",,2020,승용,
경북,봉화군,,,,,2020,승용,
경북,울진군,1420.0,800.0,"초소형912  경형1,600  소형2,400",,2020,승용,
경북,울릉군,1920.0,900.0,"초소형1,012  경형2,200  소형2,900",,2020,승용,
경남,창원시,1420.0,640.0,"소형2,400","중형6,000  대형22,571",2020,승용,
