시도,지역구분,모델별 지방비 조회,보조금/화물(만원) (국비+지방비)
서울,서울특별시,조회,"초소형650  경형1,153  소형2,022"
부산,부산광역시,조회,"초소형550  경형1,034  소형1,850"
대구,대구광역시,조회,"초소형590  경형1,103  소형1,961"
인천,인천광역시,조회,"초소형603  경형1,079  소형2,188"
광주,광주광역시,조회,"초소형560  경형1,040  소형1,871"
대전,대전광역시,조회,"초소형552  경형1,083  소형1,977"
울산,울산광역시,조회,"초소형520  경형1,024  소형1,885"
세종,세종특별자치시,조회,"초소형540  경형1,053  소형1,816"
경기,수원시,조회,"초소형600  경형1,132  소형2,109"
경기,성남시,조회,"초소형640  경형1,241  소형2,100"
경기,의정부시,조회,"초소형574  경형1,114  소형1,905"
경기,안양시,조회,"초소형600  경형1,182  소형2,175"
경기,부천시,조회,"초소형581  경형1,146  소형2,109"
경기,광명시,조회,"초소형600  경형1,217  소형2,240"
경기,평택시,조회,"초소형654  경형1,289  소형2,372"
경기,동두천시,조회,"초소형633  경형1,247  소형2,294"
경기,안산시,조회,"초소형618  경형1,217  소형2,240"
경기,고양시,조회,"초소형600  경형1,182  소형2,175"
경기,과천시,조회,"초소형654  경형1,289  소형2,372"
경기,구리시,조회,"초소형650  경형1,477  소형2,372"
경기,남양주시,조회,"초소형600  경형1,280  소형1,950"
경기,오산시,조회,"초소형654  경형1,289  소형2,372"
경기,시흥시,조회,"초소형600  경형1,280  소형2,109"
경기,군포시,조회,"초소형600  경형1,182  소형2,000"
경기,의왕시,조회,"초소형600  경형1,182  소형2,175"
경기,하남시,조회,"초소형527  경형1,132  소형1,911"
경기,용인시,조회,"초소형618  경형1,379  소형2,240"
경기,파주시,조회,"초소형600  경형1,217  소형2,241"
경기,이천시,조회,"초소형618  경형1,379  소형2,240"
경기,안성시,조회,"초소형618  경형1,218  소형2,240"
경기,김포시,조회,"초소형600  경형1,182  소형2,175"
경기,화성시,조회,"초소형618  경형1,379  소형2,240"
경기,광주시,조회,"초소형620  경형1,221  소형2,050"
경기,양주시,조회,"초소형700  경형1,379  소형2,241"
