년도,지역,차종,민간공고대수,출고대수,출고잔여대수
2020,강원,승용,1252.0,869.0,384.0
2020,강원,화물,412.0,720.0,23.0
2020,경기,승용,5013.0,5122.0,173.0
2020,경기,화물,1795.0,1747.0,222.0
2020,경남,승용,1572.0,1532.0,61.0
2020,경남,화물,874.0,914.0,19.0
2020,경북,승용,1613.0,1141.0,398.0
2020,경북,화물,1408.0,1345.0,111.0
2020,광주,승용,503.0,507.0,0.0
2020,광주,화물,180.0,179.0,1.0
2020,대구,승용,909.0,935.0,0.0
2020,대구,화물,729.0,729.0,0.0
2020,대전,승용,1227.0,1291.0,0.0
2020,대전,화물,666.0,665.0,1.0
2020,부산,승용,830.0,883.0,0.0
2020,부산,화물,731.0,759.0,0.0
2020,서울,승용,5132.0,5551.0,0.0
2020,서울,화물,1271.0,1288.0,0.0
2020,세종,승용,100.0,100.0,0.0
2020,울산,승용,641.0,647.0,0.0
2020,울산,화물,163.0,170.0,0.0
2020,인천,승용,1759.0,1888.0,0.0
2020,인천,화물,368.0,369.0,0.0
2020,전남,승용,1422.0,1357.0,82.0
2020,전남,화물,447.0,422.0,26.0
2020,전북,승용,882.0,906.0,7.0
2020,전북,화물,422.0,433.0,33.0
2020,제주,승용,1600.0,1639.0,0.0
2020,제주,화물,2000.0,2008.0,0.0
2020,충남,승용,1744.0,1486.0,301.0
2020,충남,화물,487.0,562.0,5.0
2020,충북,승용,618.0,802.0,15.0
2020,충북,화물,380.0,503.0,1.0
2020,협회,화물,1000.0,845.0,155.0
2021,강원,승용,1929.0,2442.0,173.0
2021,강원,화물,2000.0,1647.0,460.0
2021,경기,승용,10922.0,11136.0,156.0
2021,경기,화물,5322.0,5300.0,194.0
2021,경남,승용,3736.0,3911.0,98.0
2021,경남,화물,1803.0,1812.0,12.0
2021,경북,승용,2237.0,2064.0,181.0
2021,경북,화물,1867.0,1826.0,63.0
2021,광주,승용,1277.0,1184.0,93.0
2021,광주,화물,778.0,769.0,9.0
