일시,시도,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm)
2020-01,강원,0.7285714285714285,5.821428571428571,-3.3285714285714287,85.33571428571429
2020-01,경기,0.6,6.0600000000000005,-3.8600000000000003,70.28
2020-01,경남,3.9785714285714286,9.385714285714286,-0.2785714285714285,106.49285714285715
2020-01,경북,2.7785714285714285,7.642857142857143,-1.2142857142857142,90.41428571428571
2020-01,광주,4.6,9.0,1.2,74.9
2020-01,대구,3.8,8.4,0.1,70.4
2020-01,대전,2.7,7.8,-1.2,78.5
2020-01,부산,6.4,10.9,3.1,127.7
2020-01,서울,1.6,5.9,-1.7,60.5
2020-01,세종,2.1,7.1,-1.7,81.3
2020-01,울산,5.2,9.5,1.8,178.7
2020-01,인천,1.7666666666666666,5.166666666666667,-1.0666666666666667,50.96666666666667
2020-01,전남,4.6692307692307695,8.653846153846153,1.2153846153846155,80.53076923076924
2020-01,전북,2.58,7.390000000000001,-1.34,74.0
2020-01,제주,8.725,11.2,6.375,99.325
2020-01,충남,1.8833333333333335,7.133333333333333,-2.3666666666666667,64.75
2020-01,충북,1.0,6.2,-3.2399999999999998,66.62
2020-02,강원,1.7214285714285713,7.114285714285714,-3.2357142857142853,54.207142857142856
2020-02,경기,1.7,7.38,-3.22,55.58
2020-02,경남,5.1571428571428575,11.135714285714286,-0.12142857142857143,58.457142857142856
2020-02,경북,3.492857142857143,9.142857142857142,-1.5857142857142856,69.98571428571428
2020-02,광주,5.3,10.6,0.8,47.8
2020-02,대구,4.9,10.4,0.2,40.2
2020-02,대전,3.6,9.3,-1.2,91.2
2020-02,부산,7.1,11.8,3.1,94.9
2020-02,서울,2.5,7.2,-1.3,53.1
2020-02,세종,2.9,8.3,-1.9,89.7
2020-02,울산,6.0,11.0,1.4,53.6
2020-02,인천,2.2333333333333334,5.933333333333334,-1.2,40.4
2020-02,전남,5.123076923076923,10.076923076923077,0.49230769230769234,40.23846153846154
2020-02,전북,3.34,9.040000000000001,-1.5899999999999999,58.31
2020-02,제주,9.025,12.4,5.6,66.4
2020-02,충남,2.6,8.433333333333334,-2.6166666666666667,78.7
2020-02,충북,2.02,7.76,-3.2,66.2
2020-03,강원,6.521428571428571,12.85,0.1785714285714286,27.978571428571428
2020-03,경기,6.9,13.88,0.2,17.479999999999997
2020-03,경남,9.214285714285714,15.592857142857143,3.0785714285714287,42.44285714285714
2020-03,경북,7.8999999999999995,14.4,1.5785714285714287,22.5
2020-03,광주,9.0,15.2,3.8,43.5
2020-03,대구,9.5,15.8,3.6,24.5
2020-03,대전,8.5,15.0,2.3,24.4
2020-03,부산,10.4,15.0,6.4,58.8
2020-03,서울,7.7,13.3,2.6,16.3
2020-03,세종,7.8,14.3,1.7,22.6
2020-03,울산,9.6,14.9,4.6,41.6
2020-03,인천,6.533333333333334,10.733333333333334,2.3333333333333335,8.1
2020-03,전남,8.323076923076924,13.953846153846154,2.8230769230769233,40.41538461538461
2020-03,전북,7.2700000000000005,13.819999999999999,1.15,35.61
2020-03,제주,11.325,14.8,7.75,96.425
2020-03,충남,6.933333333333334,13.483333333333334,0.46666666666666673,22.316666666666666
2020-03,충북,7.0,13.919999999999998,-0.040000000000000036,20.52
2020-04,강원,9.62857142857143,16.021428571428572,3.2142857142857144,35.90714285714286
2020-04,경기,10.32,17.44,3.4,19.7
2020-04,경남,11.807142857142859,18.52857142857143,5.3500000000000005,62.121428571428574
2020-04,경북,11.0,17.742857142857144,4.378571428571428,37.76428571428572
2020-04,광주,11.5,18.0,6.2,55.3
2020-04,대구,12.6,19.0,6.5,32.4
2020-04,대전,11.5,18.7,5.2,17.8
2020-04,부산,12.6,17.5,8.9,83.5
2020-04,서울,11.1,16.6,6.3,16.9
2020-04,세종,10.8,17.9,4.3,17.6
2020-04,울산,12.3,18.0,7.0,73.2
2020-04,인천,9.9,13.9,5.933333333333334,14.933333333333332
2020-04,전남,10.846153846153847,16.646153846153847,5.300000000000001,65.74615384615385
2020-04,전북,9.760000000000002,16.56,3.3899999999999997,36.27
2020-04,제주,13.0,16.875,9.425,70.9
2020-04,충남,9.950000000000001,16.783333333333335,3.0666666666666664,19.900000000000002
2020-04,충북,10.16,17.28,2.92,29.22
2020-05,강원,16.742857142857144,22.464285714285715,11.728571428571428,119.49285714285715
2020-05,경기,17.34,23.439999999999998,12.26,116.42
2020-05,경남,18.321428571428573,24.099999999999998,13.221428571428572,86.34285714285714
2020-05,경북,17.585714285714285,23.464285714285715,12.135714285714286,79.29285714285713
2020-05,광주,18.8,24.4,14.2,96.8
2020-05,대구,19.4,25.7,14.0,38.1
2020-05,대전,18.8,24.4,13.9,80.4
2020-05,부산,17.9,21.8,15.0,96.2
