년도,월,차종,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증,휘발유차_등록수,휘발유차_순증가량,경유차_등록수,경유차_순증가량
2020,01,소계,94921144,211680,20668,336,2053876,29688,43959824,116708,39885680,55508
2020,01,승용,76897048,186980,20608,336,2052532,29688,43886696,112404,23303400,35696
2020,01,승합,3243076,-4120,60,0,1344,0,18612,64,2754104,-2220
2020,01,특수,383912,2056,0,0,0,0,236,-4,376316,2052
2020,01,화물,14397108,26764,0,0,0,0,54280,4244,13451860,19980
2020,02,소계,94973564,52420,22232,1564,2072880,19004,44017708,57884,39854256,-31424
2020,02,승용,76951320,54272,22172,1564,2071536,19004,43942700,56004,23278404,-24996
2020,02,승합,3233512,-9564,60,0,1344,0,18660,48,2745120,-8984
2020,02,특수,386016,2104,0,0,0,0,236,0,378400,2084
2020,02,화물,14402716,5608,0,0,0,0,56112,1832,13452332,472
2020,03,소계,95188332,214768,24500,2268,2111472,38592,44191696,173988,39822968,-31288
2020,03,승용,77178728,227408,24440,2268,2110132,38596,44115308,172608,23271080,-7324
2020,03,승합,3222136,-11376,60,0,1340,-4,18712,52,2733508,-11612
2020,03,특수,387992,1976,0,0,0,0,240,4,380136,1736
2020,03,화물,14399476,-3240,0,0,0,0,57436,1324,13438244,-14088
2020,04,소계,95436372,248040,28132,3632,2160556,49084,44392636,200940,39797456,-25512
2020,04,승용,77439304,260576,28072,3632,2159216,49084,44314540,199232,23268704,-2376
2020,04,승합,3212488,-9648,60,0,1340,0,18772,60,2723352,-10156
2020,04,특수,390960,2968,0,0,0,0,256,16,382432,2296
2020,04,화물,14393620,-5856,0,0,0,0,59068,1632,13422968,-15276
2020,05,소계,95704312,267940,29256,1124,2217520,56964,44614228,221592,39777740,-19716
2020,05,승용,77712308,273004,29196,1124,2216180,56964,44534104,219564,23262624,-6080
2020,05,승합,3203576,-8912,60,0,1340,0,18828,56,2714600,-8752
2020,05,특수,394376,3416,0,0,0,0,264,8,385088,2656
2020,05,화물,14394052,432,0,0,0,0,61032,1964,13415428,-7540
2020,06,소계,96092332,388020,30728,1472,2282024,64504,44880776,266548,39810692,32952
2020,06,승용,78087504,375196,30668,1472,2280684,64504,44798644,264540,23291744,29120
2020,06,승합,3195816,-7760,60,0,1340,0,18880,52,2707716,-6884
2020,06,특수,399004,4628,0,0,0,0,272,8,388544,3456
2020,06,화물,14410008,15956,0,0,0,0,62980,1948,13422688,7260
2020,07,소계,96390304,297972,33192,2464,2341224,59200,45064316,183540,39857104,46412
2020,07,승용,78365984,278480,33128,2460,2339868,59184,44980128,181484,23328764,37020
2020,07,승합,3188656,-7160,64,4,1340,0,18944,64,2701292,-6424
2020,07,특수,403676,4672,0,0,0,0,280,8,391800,3256
2020,07,화물,14431988,21980,0,0,16,16,64964,1984,13435248,12560
2020,08,소계,96521640,131336,35644,2452,2381648,40424,45129532,65216,39883080,25976
2020,08,승용,78503252,137268,35580,2452,2380296,40428,45044772,64644,23366068,37304
2020,08,승합,3178132,-10524,64,0,1336,-4,18976,32,2692948,-8344
2020,08,특수,407300,3624,0,0,0,0,280,0,394388,2588
2020,08,화물,14432956,968,0,0,16,0,65504,540,13429676,-5572
2020,09,소계,96805568,283928,37976,2332,2450308,68660,45261116,131584,39949300,66220
2020,09,승용,78775188,271936,37896,2316,2448952,68656,45175876,131104,23433008,66940
2020,09,승합,3167120,-11012,80,16,1336,0,18940,-36,2683648,-9300
2020,09,특수,411780,4480,0,0,0,0,284,4,397408,3020
2020,09,화물,14451480,18524,0,0,20,4,66016,512,13435236,5560
2020,10,소계,97003784,198216,40164,2188,2512656,62348,45370872,109756,39967168,17868
2020,10,승용,78975432,200244,40056,2160,2511296,62344,45283928,108052,23469116,36108
2020,10,승합,3155596,-11524,108,28,1332,-4,19036,96,2672760,-10888
2020,10,특수,415452,3672,0,0,0,0,300,16,399896,2488
2020,10,화물,14457304,5824,0,0,28,8,67608,1592,13425396,-9840
2020,11,소계,97260300,256516,41908,1744,2606252,93596,45511772,140900,39982740,15572
2020,11,승용,79231700,256268,41728,1672,2604872,93576,45421724,137796,23498480,29364
2020,11,승합,3144960,-10636,180,72,1332,0,19160,124,2663036,-9724
2020,11,특수,419720,4268,0,0,0,0,304,4,402804,2908
2020,11,화물,14463920,6616,0,0,48,20,70584,2976,13418420,-6976
2020,12,소계,97463916,203616,43624,1716,2697844,91592,45641936,130164,39968496,-14244
2020,12,승용,79443820,212120,43324,1596,2696460,91588,45548464,126740,23503684,5204
2020,12,승합,3135368,-9592,300,120,1332,0,19568,408,2652732,-10304
2020,12,특수,423748,4028,0,0,0,0,308,4,405560,2756
2020,12,화물,14460980,-2940,0,0,52,4,73596,3012,13406520,-11900
2021,01,소계,97745876,281960,44184,560,2770628,72784,45790168,148232,40040340,71844
2021,01,승용,79695668,251848,43784,460,2769232,72772,45693648,145184,23553004,49320
2021,01,승합,3128160,-7208,400,100,1332,0,19744,176,2645372,-7360
2021,01,특수,428508,4760,0,0,0,0,324,16,409152,3592
2021,01,화물,14493540,32560,0,0,64,12,76452,2856,13432812,26292
2021,02,소계,97930080,184204,46228,2044,2832860,62232,45888440,98272,40066212,25872
2021,02,승용,79867108,171440,45828,2044,2831464,62232,45790624,96976,23576132,23128
2021,02,승합,3120312,-7848,400,0,1332,0,19856,112,2637620,-7752
2021,02,특수,432416,3908,0,0,0,0,336,12,412048,2896
2021,02,화물,14510244,16704,0,0,64,0,77624,1172,13440412,7600
2021,03,소계,98135180,205100,49756,3528,2910524,77664,46022384,133944,40021020,-45192
2021,03,승용,80066844,199736,49352,3524,2909096,77632,45922868,132244,23556464,-19668
2021,03,승합,3104996,-15316,404,4,1332,0,20088,232,2622144,-15476
2021,03,특수,436732,4316,0,0,0,0,340,4,415108,3060
