년도,월,차종,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증
2020,01,소계,94921144,211680,20668,336,2053876,29688
2020,01,승용,76897048,186980,20608,336,2052532,29688
2020,01,승합,3243076,-4120,60,0,1344,0
2020,01,특수,383912,2056,0,0,0,0
2020,01,화물,14397108,26764,0,0,0,0
2020,02,소계,94973564,52420,22232,1564,2072880,19004
2020,02,승용,76951320,54272,22172,1564,2071536,19004
2020,02,승합,3233512,-9564,60,0,1344,0
2020,02,특수,386016,2104,0,0,0,0
2020,02,화물,14402716,5608,0,0,0,0
2020,03,소계,95188332,214768,24500,2268,2111472,38592
2020,03,승용,77178728,227408,24440,2268,2110132,38596
2020,03,승합,3222136,-11376,60,0,1340,-4
2020,03,특수,387992,1976,0,0,0,0
2020,03,화물,14399476,-3240,0,0,0,0
2020,04,소계,95436372,248040,28132,3632,2160556,49084
2020,04,승용,77439304,260576,28072,3632,2159216,49084
2020,04,승합,3212488,-9648,60,0,1340,0
2020,04,특수,390960,2968,0,0,0,0
2020,04,화물,14393620,-5856,0,0,0,0
2020,05,소계,95704312,267940,29256,1124,2217520,56964
2020,05,승용,77712308,273004,29196,1124,2216180,56964
2020,05,승합,3203576,-8912,60,0,1340,0
2020,05,특수,394376,3416,0,0,0,0
2020,05,화물,14394052,432,0,0,0,0
2020,06,소계,96092332,388020,30728,1472,2282024,64504
2020,06,승용,78087504,375196,30668,1472,2280684,64504
2020,06,승합,3195816,-7760,60,0,1340,0
2020,06,특수,399004,4628,0,0,0,0
2020,06,화물,14410008,15956,0,0,0,0
2020,07,소계,96390304,297972,33192,2464,2341224,59200
2020,07,승용,78365984,278480,33128,2460,2339868,59184
2020,07,승합,3188656,-7160,64,4,1340,0
2020,07,특수,403676,4672,0,0,0,0
2020,07,화물,14431988,21980,0,0,16,16
2020,08,소계,96521640,131336,35644,2452,2381648,40424
2020,08,승용,78503252,137268,35580,2452,2380296,40428
2020,08,승합,3178132,-10524,64,0,1336,-4
2020,08,특수,407300,3624,0,0,0,0
2020,08,화물,14432956,968,0,0,16,0
2020,09,소계,96805568,283928,37976,2332,2450308,68660
2020,09,승용,78775188,271936,37896,2316,2448952,68656
