년도,월,지역,연료,차종,용도,등록수,순증가량
2020,01,강원,전기,소계,계,2448,3
2020,01,강원,전기,소계,비사업용,2303,3
2020,01,강원,전기,소계,사업용,145,0
2020,01,강원,전기,승용,계,2426,3
2020,01,강원,전기,승용,비사업용,2300,3
2020,01,강원,전기,승용,사업용,126,0
2020,01,강원,전기,승합,계,20,0
2020,01,강원,전기,승합,비사업용,1,0
2020,01,강원,전기,승합,사업용,19,0
2020,01,강원,전기,특수,계,0,0
2020,01,강원,전기,특수,비사업용,0,0
2020,01,강원,전기,특수,사업용,0,0
2020,01,강원,전기,화물,계,2,0
2020,01,강원,전기,화물,비사업용,2,0
2020,01,강원,전기,화물,사업용,0,0
2020,01,경기,전기,소계,계,11809,59
2020,01,경기,전기,소계,비사업용,11340,20
2020,01,경기,전기,소계,사업용,469,39
2020,01,경기,전기,승용,계,11502,27
2020,01,경기,전기,승용,비사업용,11303,22
2020,01,경기,전기,승용,사업용,199,5
2020,01,경기,전기,승합,계,275,31
2020,01,경기,전기,승합,비사업용,11,0
2020,01,경기,전기,승합,사업용,264,31
2020,01,경기,전기,특수,계,12,0
2020,01,경기,전기,특수,비사업용,12,0
2020,01,경기,전기,특수,사업용,0,0
2020,01,경기,전기,화물,계,20,1
2020,01,경기,전기,화물,비사업용,14,-2
2020,01,경기,전기,화물,사업용,6,3
2020,01,경남,전기,소계,계,3634,8
2020,01,경남,전기,소계,비사업용,3458,10
2020,01,경남,전기,소계,사업용,176,-2
2020,01,경남,전기,승용,계,3555,7
2020,01,경남,전기,승용,비사업용,3452,9
2020,01,경남,전기,승용,사업용,103,-2
2020,01,경남,전기,승합,계,73,0
2020,01,경남,전기,승합,비사업용,0,0
2020,01,경남,전기,승합,사업용,73,0
2020,01,경남,전기,특수,계,3,0
2020,01,경남,전기,특수,비사업용,3,0
2020,01,경남,전기,특수,사업용,0,0
2020,01,경남,전기,화물,계,3,1
2020,01,경남,전기,화물,비사업용,3,1
2020,01,경남,전기,화물,사업용,0,0
2020,01,경북,전기,소계,계,4071,20
2020,01,경북,전기,소계,비사업용,3987,20
2020,01,경북,전기,소계,사업용,84,0
2020,01,경북,전기,승용,계,4059,21
2020,01,경북,전기,승용,비사업용,3979,21
2020,01,경북,전기,승용,사업용,80,0
2020,01,경북,전기,승합,계,6,0
2020,01,경북,전기,승합,비사업용,2,0
2020,01,경북,전기,승합,사업용,4,0
2020,01,경북,전기,특수,계,0,-1
2020,01,경북,전기,특수,비사업용,0,-1
2020,01,경북,전기,특수,사업용,0,0
2020,01,경북,전기,화물,계,6,0
2020,01,경북,전기,화물,비사업용,6,0
2020,01,경북,전기,화물,사업용,0,0
2020,01,광주,전기,소계,계,2479,15
2020,01,광주,전기,소계,비사업용,2358,21
2020,01,광주,전기,소계,사업용,121,-6
2020,01,광주,전기,승용,계,2438,-15
2020,01,광주,전기,승용,비사업용,2333,-3
2020,01,광주,전기,승용,사업용,105,-12
2020,01,광주,전기,승합,계,11,0
2020,01,광주,전기,승합,비사업용,1,0
2020,01,광주,전기,승합,사업용,10,0
2020,01,광주,전기,특수,계,0,0
2020,01,광주,전기,특수,비사업용,0,0
2020,01,광주,전기,특수,사업용,0,0
2020,01,광주,전기,화물,계,30,30
2020,01,광주,전기,화물,비사업용,24,24
2020,01,광주,전기,화물,사업용,6,6
2020,01,대구,전기,소계,계,11274,-39
2020,01,대구,전기,소계,비사업용,9200,-66
2020,01,대구,전기,소계,사업용,2074,27
2020,01,대구,전기,승용,계,10799,-39
2020,01,대구,전기,승용,비사업용,8747,-66
2020,01,대구,전기,승용,사업용,2052,27
2020,01,대구,전기,승합,계,10,0
2020,01,대구,전기,승합,비사업용,0,0
2020,01,대구,전기,승합,사업용,10,0
2020,01,대구,전기,특수,계,0,0
2020,01,대구,전기,특수,비사업용,0,0
2020,01,대구,전기,특수,사업용,0,0
2020,01,대구,전기,화물,계,465,0
2020,01,대구,전기,화물,비사업용,453,0
2020,01,대구,전기,화물,사업용,12,0
2020,01,대전,전기,소계,계,2618,63
2020,01,대전,전기,소계,비사업용,2355,61
2020,01,대전,전기,소계,사업용,263,2
2020,01,대전,전기,승용,계,2578,35
2020,01,대전,전기,승용,비사업용,2323,35
2020,01,대전,전기,승용,사업용,255,0
2020,01,대전,전기,승합,계,8,0
2020,01,대전,전기,승합,비사업용,2,0
2020,01,대전,전기,승합,사업용,6,0
2020,01,대전,전기,특수,계,0,0
2020,01,대전,전기,특수,비사업용,0,0
2020,01,대전,전기,특수,사업용,0,0
2020,01,대전,전기,화물,계,32,28
2020,01,대전,전기,화물,비사업용,30,26
2020,01,대전,전기,화물,사업용,2,2
2020,01,부산,전기,소계,계,3223,7
2020,01,부산,전기,소계,비사업용,2424,7
2020,01,부산,전기,소계,사업용,799,0
2020,01,부산,전기,승용,계,3096,6
2020,01,부산,전기,승용,비사업용,2422,5
2020,01,부산,전기,승용,사업용,674,1
2020,01,부산,전기,승합,계,125,0
2020,01,부산,전기,승합,비사업용,0,0
2020,01,부산,전기,승합,사업용,125,0
2020,01,부산,전기,특수,계,1,1
2020,01,부산,전기,특수,비사업용,1,1
2020,01,부산,전기,특수,사업용,0,0
2020,01,부산,전기,화물,계,1,0
2020,01,부산,전기,화물,비사업용,1,1
2020,01,부산,전기,화물,사업용,0,-1
2020,01,서울,전기,소계,계,15353,401
2020,01,서울,전기,소계,비사업용,8814,306
2020,01,서울,전기,소계,사업용,6539,95
2020,01,서울,전기,승용,계,14410,178
2020,01,서울,전기,승용,비사업용,8044,127
2020,01,서울,전기,승용,사업용,6366,51
2020,01,서울,전기,승합,계,134,7
2020,01,서울,전기,승합,비사업용,7,2
2020,01,서울,전기,승합,사업용,127,5
2020,01,서울,전기,특수,계,1,0
2020,01,서울,전기,특수,비사업용,1,0
2020,01,서울,전기,특수,사업용,0,0
2020,01,서울,전기,화물,계,808,216
2020,01,서울,전기,화물,비사업용,762,177
2020,01,서울,전기,화물,사업용,46,39
2020,01,세종,전기,소계,계,911,8
2020,01,세종,전기,소계,비사업용,905,8
2020,01,세종,전기,소계,사업용,6,0
2020,01,세종,전기,승용,계,903,8
2020,01,세종,전기,승용,비사업용,901,8
2020,01,세종,전기,승용,사업용,2,0
2020,01,세종,전기,승합,계,4,0
2020,01,세종,전기,승합,비사업용,0,0
2020,01,세종,전기,승합,사업용,4,0
2020,01,세종,전기,특수,계,4,0
2020,01,세종,전기,특수,비사업용,4,0
2020,01,세종,전기,특수,사업용,0,0
2020,01,세종,전기,화물,계,0,0
2020,01,세종,전기,화물,비사업용,0,0
2020,01,세종,전기,화물,사업용,0,0
2020,01,울산,전기,소계,계,1441,-6
2020,01,울산,전기,소계,비사업용,1224,-6
2020,01,울산,전기,소계,사업용,217,0
2020,01,울산,전기,승용,계,1441,-6
2020,01,울산,전기,승용,비사업용,1224,-6
2020,01,울산,전기,승용,사업용,217,0
2020,01,울산,전기,승합,계,0,0
2020,01,울산,전기,승합,비사업용,0,0
