년도,월,지역,차종,용도,연료,등록수,순증가량
2020,01,강원,소계,계,하이브리드,14145,229
2020,01,강원,소계,비사업용,하이브리드,14098,225
2020,01,강원,소계,사업용,하이브리드,47,4
2020,01,강원,승용,계,하이브리드,14145,229
2020,01,강원,승용,비사업용,하이브리드,14098,225
2020,01,강원,승용,사업용,하이브리드,47,4
2020,01,강원,승합,계,하이브리드,0,0
2020,01,강원,승합,비사업용,하이브리드,0,0
2020,01,강원,승합,사업용,하이브리드,0,0
2020,01,강원,특수,계,하이브리드,0,0
2020,01,강원,특수,비사업용,하이브리드,0,0
2020,01,강원,특수,사업용,하이브리드,0,0
2020,01,강원,화물,계,하이브리드,0,0
2020,01,강원,화물,비사업용,하이브리드,0,0
2020,01,강원,화물,사업용,하이브리드,0,0
2020,01,경기,소계,계,하이브리드,142956,1801
2020,01,경기,소계,비사업용,하이브리드,142404,1790
2020,01,경기,소계,사업용,하이브리드,552,11
2020,01,경기,승용,계,하이브리드,142876,1801
2020,01,경기,승용,비사업용,하이브리드,142403,1790
2020,01,경기,승용,사업용,하이브리드,473,11
2020,01,경기,승합,계,하이브리드,80,0
2020,01,경기,승합,비사업용,하이브리드,1,0
2020,01,경기,승합,사업용,하이브리드,79,0
2020,01,경기,특수,계,하이브리드,0,0
2020,01,경기,특수,비사업용,하이브리드,0,0
2020,01,경기,특수,사업용,하이브리드,0,0
2020,01,경기,화물,계,하이브리드,0,0
2020,01,경기,화물,비사업용,하이브리드,0,0
2020,01,경기,화물,사업용,하이브리드,0,0
2020,01,경남,소계,계,하이브리드,27423,392
2020,01,경남,소계,비사업용,하이브리드,26514,328
2020,01,경남,소계,사업용,하이브리드,909,64
2020,01,경남,승용,계,하이브리드,27422,392
2020,01,경남,승용,비사업용,하이브리드,26514,328
2020,01,경남,승용,사업용,하이브리드,908,64
2020,01,경남,승합,계,하이브리드,1,0
2020,01,경남,승합,비사업용,하이브리드,0,0
2020,01,경남,승합,사업용,하이브리드,1,0
2020,01,경남,특수,계,하이브리드,0,0
2020,01,경남,특수,비사업용,하이브리드,0,0
2020,01,경남,특수,사업용,하이브리드,0,0
2020,01,경남,화물,계,하이브리드,0,0
2020,01,경남,화물,비사업용,하이브리드,0,0
2020,01,경남,화물,사업용,하이브리드,0,0
2020,01,경북,소계,계,하이브리드,21786,267
2020,01,경북,소계,비사업용,하이브리드,21726,266
2020,01,경북,소계,사업용,하이브리드,60,1
2020,01,경북,승용,계,하이브리드,21755,267
2020,01,경북,승용,비사업용,하이브리드,21726,266
2020,01,경북,승용,사업용,하이브리드,29,1
2020,01,경북,승합,계,하이브리드,31,0
2020,01,경북,승합,비사업용,하이브리드,0,0
2020,01,경북,승합,사업용,하이브리드,31,0
2020,01,경북,특수,계,하이브리드,0,0
2020,01,경북,특수,비사업용,하이브리드,0,0
2020,01,경북,특수,사업용,하이브리드,0,0
2020,01,경북,화물,계,하이브리드,0,0
2020,01,경북,화물,비사업용,하이브리드,0,0
2020,01,경북,화물,사업용,하이브리드,0,0
2020,01,광주,소계,계,하이브리드,13519,158
2020,01,광주,소계,비사업용,하이브리드,13459,158
2020,01,광주,소계,사업용,하이브리드,60,0
2020,01,광주,승용,계,하이브리드,13492,158
2020,01,광주,승용,비사업용,하이브리드,13459,158
2020,01,광주,승용,사업용,하이브리드,33,0
2020,01,광주,승합,계,하이브리드,27,0
2020,01,광주,승합,비사업용,하이브리드,0,0
2020,01,광주,승합,사업용,하이브리드,27,0
2020,01,광주,특수,계,하이브리드,0,0
2020,01,광주,특수,비사업용,하이브리드,0,0
2020,01,광주,특수,사업용,하이브리드,0,0
2020,01,광주,화물,계,하이브리드,0,0
2020,01,광주,화물,비사업용,하이브리드,0,0
2020,01,광주,화물,사업용,하이브리드,0,0
2020,01,대구,소계,계,하이브리드,26439,413
2020,01,대구,소계,비사업용,하이브리드,26209,392
2020,01,대구,소계,사업용,하이브리드,230,21
2020,01,대구,승용,계,하이브리드,26425,413
2020,01,대구,승용,비사업용,하이브리드,26208,392
2020,01,대구,승용,사업용,하이브리드,217,21
2020,01,대구,승합,계,하이브리드,14,0
2020,01,대구,승합,비사업용,하이브리드,1,0
2020,01,대구,승합,사업용,하이브리드,13,0
2020,01,대구,특수,계,하이브리드,0,0
2020,01,대구,특수,비사업용,하이브리드,0,0
2020,01,대구,특수,사업용,하이브리드,0,0
2020,01,대구,화물,계,하이브리드,0,0
2020,01,대구,화물,비사업용,하이브리드,0,0
2020,01,대구,화물,사업용,하이브리드,0,0
2020,01,대전,소계,계,하이브리드,13168,190
2020,01,대전,소계,비사업용,하이브리드,13124,189
2020,01,대전,소계,사업용,하이브리드,44,1
2020,01,대전,승용,계,하이브리드,13168,190
2020,01,대전,승용,비사업용,하이브리드,13124,189
2020,01,대전,승용,사업용,하이브리드,44,1
2020,01,대전,승합,계,하이브리드,0,0
2020,01,대전,승합,비사업용,하이브리드,0,0
2020,01,대전,승합,사업용,하이브리드,0,0
2020,01,대전,특수,계,하이브리드,0,0
2020,01,대전,특수,비사업용,하이브리드,0,0
2020,01,대전,특수,사업용,하이브리드,0,0
2020,01,대전,화물,계,하이브리드,0,0
2020,01,대전,화물,비사업용,하이브리드,0,0
2020,01,대전,화물,사업용,하이브리드,0,0
2020,01,부산,소계,계,하이브리드,28696,445
2020,01,부산,소계,비사업용,하이브리드,27314,422
2020,01,부산,소계,사업용,하이브리드,1382,23
2020,01,부산,승용,계,하이브리드,28693,445
2020,01,부산,승용,비사업용,하이브리드,27313,422
2020,01,부산,승용,사업용,하이브리드,1380,23
2020,01,부산,승합,계,하이브리드,3,0
2020,01,부산,승합,비사업용,하이브리드,1,0
2020,01,부산,승합,사업용,하이브리드,2,0
2020,01,부산,특수,계,하이브리드,0,0
