년도,월,지역,연료,차종,용도,등록수,순증가량
2020,01,강원,총계,소계,계,784808,2108
2020,01,강원,총계,소계,비사업용,759447,2084
2020,01,강원,총계,소계,사업용,25361,24
2020,01,강원,총계,승용,계,596080,1703
2020,01,강원,총계,승용,비사업용,584095,1691
2020,01,강원,총계,승용,사업용,11985,12
2020,01,강원,총계,승합,계,29258,-11
2020,01,강원,총계,승합,비사업용,25979,-5
2020,01,강원,총계,승합,사업용,3279,-6
2020,01,강원,총계,특수,계,3211,19
2020,01,강원,총계,특수,비사업용,1566,15
2020,01,강원,총계,특수,사업용,1645,4
2020,01,강원,총계,화물,계,156259,397
2020,01,강원,총계,화물,비사업용,147807,383
2020,01,강원,총계,화물,사업용,8452,14
2020,01,경기,총계,소계,계,5779063,13371
2020,01,경기,총계,소계,비사업용,5549673,12933
2020,01,경기,총계,소계,사업용,229390,438
2020,01,경기,총계,승용,계,4749591,12124
2020,01,경기,총계,승용,비사업용,4677409,12235
2020,01,경기,총계,승용,사업용,72182,-111
2020,01,경기,총계,승합,계,209979,-216
2020,01,경기,총계,승합,비사업용,177497,-328
2020,01,경기,총계,승합,사업용,32482,112
2020,01,경기,총계,특수,계,18227,97
2020,01,경기,총계,특수,비사업용,7175,52
2020,01,경기,총계,특수,사업용,11052,45
2020,01,경기,총계,화물,계,801266,1366
2020,01,경기,총계,화물,비사업용,687592,974
2020,01,경기,총계,화물,사업용,113674,392
2020,01,경남,총계,소계,계,1726327,4824
2020,01,경남,총계,소계,비사업용,1639608,3738
2020,01,경남,총계,소계,사업용,86719,1086
2020,01,경남,총계,승용,계,1370360,4076
2020,01,경남,총계,승용,비사업용,1321311,3040
2020,01,경남,총계,승용,사업용,49049,1036
2020,01,경남,총계,승합,계,55152,18
2020,01,경남,총계,승합,비사업용,47622,-3
2020,01,경남,총계,승합,사업용,7530,21
2020,01,경남,총계,특수,계,7948,46
2020,01,경남,총계,특수,비사업용,2568,37
2020,01,경남,총계,특수,사업용,5380,9
2020,01,경남,총계,화물,계,292867,684
2020,01,경남,총계,화물,비사업용,268107,664
2020,01,경남,총계,화물,사업용,24760,20
2020,01,경북,총계,소계,계,1449761,3499
2020,01,경북,총계,소계,비사업용,1401165,3388
2020,01,경북,총계,소계,사업용,48596,111
2020,01,경북,총계,승용,계,1074746,2543
2020,01,경북,총계,승용,비사업용,1060321,2519
2020,01,경북,총계,승용,사업용,14425,24
2020,01,경북,총계,승합,계,49055,17
2020,01,경북,총계,승합,비사업용,43616,-9
2020,01,경북,총계,승합,사업용,5439,26
2020,01,경북,총계,특수,계,7980,16
2020,01,경북,총계,특수,비사업용,3035,5
2020,01,경북,총계,특수,사업용,4945,11
2020,01,경북,총계,화물,계,317980,923
2020,01,경북,총계,화물,비사업용,294193,873
2020,01,경북,총계,화물,사업용,23787,50
2020,01,광주,총계,소계,계,677933,1652
2020,01,광주,총계,소계,비사업용,645329,1685
2020,01,광주,총계,소계,사업용,32604,-33
2020,01,광주,총계,승용,계,561992,1267
2020,01,광주,총계,승용,비사업용,546651,1374
2020,01,광주,총계,승용,사업용,15341,-107
2020,01,광주,총계,승합,계,20444,-9
2020,01,광주,총계,승합,비사업용,17909,-1
2020,01,광주,총계,승합,사업용,2535,-8
2020,01,광주,총계,특수,계,2744,43
2020,01,광주,총계,특수,비사업용,934,21
2020,01,광주,총계,특수,사업용,1810,22
2020,01,광주,총계,화물,계,92753,351
2020,01,광주,총계,화물,비사업용,79835,291
2020,01,광주,총계,화물,사업용,12918,60
2020,01,대구,총계,소계,계,1191489,1335
2020,01,대구,총계,소계,비사업용,1139373,1250
2020,01,대구,총계,소계,사업용,52116,85
2020,01,대구,총계,승용,계,996304,1301
2020,01,대구,총계,승용,비사업용,969365,1244
2020,01,대구,총계,승용,사업용,26939,57
2020,01,대구,총계,승합,계,31627,-61
2020,01,대구,총계,승합,비사업용,27505,-60
2020,01,대구,총계,승합,사업용,4122,-1
2020,01,대구,총계,특수,계,3026,21
2020,01,대구,총계,특수,비사업용,1077,6
2020,01,대구,총계,특수,사업용,1949,15
2020,01,대구,총계,화물,계,160532,74
2020,01,대구,총계,화물,비사업용,141426,60
2020,01,대구,총계,화물,사업용,19106,14
2020,01,대전,총계,소계,계,675265,1366
2020,01,대전,총계,소계,비사업용,645576,1333
2020,01,대전,총계,소계,사업용,29689,33
2020,01,대전,총계,승용,계,564839,1193
2020,01,대전,총계,승용,비사업용,550382,1203
2020,01,대전,총계,승용,사업용,14457,-10
2020,01,대전,총계,승합,계,20996,-31
2020,01,대전,총계,승합,비사업용,18828,-29
