번호,업체명,차종,차명,형식,사용연료,인증구분,"배출가스
인증번호","배출가스
인증일","1회충전주행거리(km)
상온 도심","1회충전주행거리(km)
상온 고속","1회충전주행거리(km)
상온 복합","1회충전주행거리(km)
저온 도심","1회충전주행거리(km)
저온 고속","1회충전주행거리(km)
저온 복합"
1,현대자동차(주),승용(소형),코나 일렉트릭(항속형) 19인치,SX2-EV-G7A-EX2-19,전기(EV),변경인증,PMY-HD-21-11,2023-12-21,402,334,371,297,319,307
2,현대자동차(주),승용(소형),코나 일렉트릭(항속형) 17인치,SX2-EV-G7A-EX2-17,전기(EV),변경인증,PMY-HD-21-11,2023-12-21,458,372,419,336,345,340
3,현대자동차(주),승용(소형),코나 일렉트릭(N-Line) 19인치,SX2-EV-G7A-EX2-NL-19,전기(EV),변경인증,PMY-HD-21-11,2023-12-21,404,338,374,338,347,342
4,케이지모빌리티커머셜(주),승용(초대형),SMART 110,EB411-EV-EL,전기(EV),신규인증,PMY-ED-21-32,2023-12-11,,,419,,,
5,한국상용트럭(주),화물(중형),한국상용1톤롱바디EV트럭,KCT1LCT-HD1ELCT,전기(EV),신규인증,PMY-HS-21-30,2023-12-06,209,149,182,157,159,158
6,(주)우진산전,승용(초대형),아폴로 1200,WJEB-12CHLP-01,전기(EV),신규인증,PMY-WJ-21-31,2023-12-06,,,502.3,,,
7,서울시티투어버스(주),승용(대형),타이거클래식트롤리버스,TIB1101,전기(EV),신규인증,PMY-ST-21-29,2023-11-20,,,218,,,
8,(주)킴스트,이륜,DICE PLUS,DP2,전기(EV),신규인증,PMY-KT-21-28,2023-11-08,53.1,,,41,,
9,(주)킴스트,이륜,DICE,KSTD02,전기(EV),신규인증,PMY-KT-21--26,2023-10-13,85.4,,,69.3,,
10,(주)킴스트,이륜,DICE TRUCK,DT2,전기(EV),신규인증,PMY-KT-21-27,2023-10-13,49.1,,,44.6,,
