,Range(km),Efficiency(Wh/km),Battery(kWh)
Kia?e-Niro 64 kWh,375,171,64
Kia?e-Soul 64 kWh,370,173,64
Kia?e-Soul 39 kWh,230,170,39.2
Kia?e-Niro 39 kWh,235,167,39.2
Tesla?Model 3 Performance,470,162,76
Tesla?Model 3 Long Range AWD,465,155,72
Tesla Model S Long Range Plus,555,177,98
Tesla?Model S Performance,535,183,98
Tesla?Model 3 Standard Range Plus?(CATL LFP55),350,150,52.5
Tesla?Model X Performance,470,209,98
Tesla?Model X Long Range Plus,480,204,98
Tesla?Model 3 Standard Range Plus?(PANA 2170L),350,146,51
Tesla?Model 3 Long Range AWD,490,155,76
Hyundai?Kona Electric 64 kWh,390,164,64
Hyundai?Kona Electric 39 kWh,245,160,39.2
Hyundai?IONIQ 5 Standard Range 2WD?(MY21),295,183,54
Hyundai?IONIQ 5 Long Range 2WD?(MY21),370,189,70
Hyundai?IONIQ 5 Long Range AWD?(MY21),365,192,70
Hyundai?IONIQ 5 Project 45?(MY21),365,192,70
Hyundai?IONIQ 5 Standard Range AWD?(MY21),290,186,54
Tesla?Model Y Long Range AWD,425,169,72
Kia?EV6 Long Range 2WD,410,180,74
Kia?EV6 Long Range AWD,400,185,74
Kia?EV6 Standard Range 2WD,305,177,54
Tesla?Model 3 Long Range AWD,485,155,75
Tesla?Model 3 RWD?(CATL LFP60),405,142,57.5
Tesla?Model Y Long Range AWD,445,169,75
Tesla?Model 3 Performance,460,163,75
Tesla?Model Y Performance,430,174,75
Hyundai?IONIQ 5 Long Range 2WD?(MY22),390,190,74
Hyundai?IONIQ 5 Long Range AWD?(MY22),385,192,74
Kia?EV6 GT,360,206,74
Genesis?GV60 Premium,390,190,74
Genesis?G80 Electrified Luxury,440,188,82.5
Genesis?GV60 Sport,375,197,74
Genesis?GV60 Sport Plus,360,206,74
Kia?Niro EV,385,168,64.8
Kia?e-Soul 39.2 kWh,230,170,39.2
Genesis?GV70 Electrified Sport,350,211,74
Tesla?Model Y RWD?(CATL LFP),350,164,57.5
Tesla?Model Y RWD?(BYD LFP),350,164,57.5
Tesla?Model S Plaid,560,170,95
Hyundai?IONIQ 6 Long Range AWD,440,168,74
Tesla?Model X Plaid,465,204,95
Hyundai?IONIQ 6 Long Range 2WD,495,149,74
Tesla?Model S Dual Motor,575,165,95
Hyundai?IONIQ 6 Standard Range 2WD,335,149,50
Tesla?Model X Dual Motor,485,196,95
Tesla?Model 3 Long Range RWD,495,152,75
Kia?EV9 99.8 kWh AWD GT-Line,425,226,96
Kia?EV9 99.8 kWh RWD,450,213,96
Hyundai?Kona Electric 65 kWh,390,168,65.4
Hyundai?Kona Electric 48 kWh,295,164,48.4
Tesla?Model 3 RWD?(Highland CATL LFP60),420,137,57.5
Kia?EV9 99.8 kWh AWD,435,221,96
Tesla?Model 3 Long Range AWD?(Highland),525,143,75
Hyundai?IONIQ 5 N?(MY24),390,205,80
Tesla?Model Y Long Range RWD,455,165,75
Tesla?Model 3 Performance?(Highland),490,153,75
Hyundai?IONIQ 5 84 kWh RWD?(MY24),450,178,80
Hyundai?IONIQ 5 84 kWh AWD?(MY24),445,180,80
Hyundai?IONIQ 5 63 kWh RWD?(MY24),345,174,60
Kia?EV3 Long Range,455,171,78
Kia?EV3 Standard Range,325,169,55
Kia?EV6 Long Range AWD,440,182,80
Kia?EV6 Long Range 2WD,455,176,80
Kia?EV6 Standard Range 2WD,345,174,60
Hyundai?INSTER Long Range,300,153,46
Hyundai?INSTER Standard Range,255,153,39
Kia?EV9 76.1 kWh RWD,355,206,73
Tesla?Model 3 Long Range RWD?(Highland),550,136,75
Tesla?Model Y Long Range AWD Launch Series?(Juniper),455,165,75
Kia?EV6 GT,385,208,80
Tesla?Model Y RWD?(Juniper),375,161,60.5
Tesla?Model Y Long Range AWD?(Juniper),455,165,75
Tesla?Model Y Long Range RWD?(Juniper),470,160,75
Kia?EV9 99.8 kWh AWD GT,420,229,96
Tesla?Model 3 RWD?(Highland CATL LFP64),445,136,60.5
Hyundai?IONIQ 9 Long Range AWD,490,216,106
Hyundai?IONIQ 9 Long Range RWD,500,212,106
Hyundai?IONIQ 9 Performance AWD,480,221,106
Kia?EV4 Hatchback 81.4 kWh,475,164,78
Kia?EV4 Fastback 81.4 kWh,495,158,78
Kia?EV4 Hatchback 58.3 kWh,340,162,55
