구분,자동차용경유,보통휘발유
2015년06월,1368.8,1580.03
2015년07월,1354.65,1576.02
2015년08월,1307.77,1544.49
2015년09월,1263.79,1511.5
2015년10월,1251.92,1498.67
2015년11월,1234.95,1473.58
2015년12월,1211.03,1432.92
2016년01월,1157.33,1385.25
2016년02월,1101.12,1351.65
2016년03월,1103.15,1350.13
2016년04월,1121.36,1361.74
2016년05월,1157.91,1388.74
2016년06월,1225.25,1437.57
2016년07월,1228.37,1437.15
2016년08월,1207.22,1411.69
2016년09월,1203.04,1408.2
2016년10월,1211.14,1416.6
2016년11월,1222.73,1426.95
2016년12월,1249.65,1454.61
2017년01월,1300.18,1507.88
2017년02월,1307.5,1516.65
2017년03월,1297.28,1506.81
2017년04월,1277.84,1487.54
2017년05월,1271.39,1481.18
2017년06월,1251.47,1461.57
2017년07월,1229.81,1438.62
2017년08월,1244.87,1451.82
2017년09월,1271.01,1479.66
2017년10월,1295.61,1504.49
2017년11월,1313.02,1521.11
2017년12월,1332.35,1540.27
2018년01월,1344.93,1551.76
2018년02월,1360.41,1564.55
2018년03월,1354.58,1557.85
2018년04월,1349.06,1551.33
2018년05월,1380.24,1580.29
2018년06월,1410.01,1609.08
2018년07월,1411.85,1610.91
2018년08월,1419.13,1618.29
2018년09월,1438.93,1637.58
2018년10월,1485.02,1681.12
2018년11월,1424.66,1580.91
2018년12월,1324.11,1433.13
2019년01월,1249.41,1351.19
2019년02월,1242.91,1343.77
2019년03월,1269.16,1369.52
2019년04월,1316.42,1424.39
2019년05월,1385.31,1517.22
2019년06월,1379.77,1517.54
2019년07월,1352.84,1491.5
2019년08월,1351.92,1493.72
2019년09월,1379.84,1529.27
2019년10월,1387.73,1540.47
2019년11월,1380.51,1535.65
2019년12월,1385.42,1548.47
2020년01월,1398.4,1568.44
2020년02월,1369.85,1545.29
2020년03월,1280.77,1469.06
2020년04월,1132.44,1323.66
2020년05월,1065.79,1255.08
2020년06월,1127.9,1322.88
2020년07월,1162.9,1360.25
2020년08월,1163.56,1361.09
2020년09월,1154.45,1352.47
2020년10월,1133.96,1333.28
2020년11월,1119.6,1319.59
2020년12월,1168.32,1367.77
2021년01월,1242.35,1441.84
2021년02월,1263.36,1463.22
2021년03월,1312.63,1513.27
2021년04월,1332.74,1534.52
2021년05월,1338.81,1541.51
2021년06월,1374.36,1577.33
2021년07월,1425.54,1629.26
2021년08월,1440.54,1645.75
2021년09월,1437.17,1642.68
2021년10월,1509.29,1712.32
2021년11월,1549.72,1737.39
2021년12월,1468.9,1646.37
2022년01월,1453.53,1635.22
2022년02월,1536.64,1714.61
2022년03월,1826.93,1938.46
2022년04월,1906.42,1976.53
2022년05월,1964.28,1967.07
2022년06월,2089.03,2084
2022년07월,2084.91,2029.99
2022년08월,1889.31,1792.19
2022년09월,1850.2,1730
2022년10월,1838.34,1666.65
2022년11월,1879.15,1650.32
2022년12월,1783.21,1563.68
2023년01월,1675.37,1562.93
2023년02월,1606.41,1578.49
2023년03월,1539.72,1592.25
2023년04월,1535.7,1640.95
2023년05월,1471.97,1628.81
2023년06월,1394.48,1580.64
2023년07월,1396.48,1585.48
2023년08월,1573.16,1716.76
2023년09월,1666.53,1769.15
2023년10월,1690.31,1775.89
2023년11월,1628.22,1684.05
2023년12월,1526.31,1600.58
2024년01월,1480.07,1569.25
2024년02월,1517.75,1614.51
2024년03월,1538.97,1639.1
2024년04월,1557.77,1687.79
2024년05월,1539.59,1697.47
2024년06월,1487.54,1657.37
2024년07월,1542.46,1707.13
2024년08월,1528.85,1691.28
2024년09월,1458.22,1622.2
2024년10월,1421.44,1591.34
2024년11월,1461.04,1628.29
2024년12월,1497.25,1653.64
2025년01월,1563.53,1709.29
2025년02월,1594.01,1728.26
2025년03월,1555.03,1688.93
2025년04월,1513.21,1646.69
2025년05월,1502.15,1636.45
2025년06월,1505.43,1642.08
